Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
shake000027;Q272169;Shakespeare, William;0;Titus Andronicus;;;;1592;;;;;27;false;;;27;3;19;5;5;1;184;1592;14;5;22153;21038;1400;21;2496;titus-andronicus;shake000027;ShakeDraCor;1592;;male;1564;1616;"Saturninus (M); Bassianus (M); Marcus Andronicus (M); Captain (M); Titus Andronicus (M); Lucius (M); Tamora (F); Chiron (M); Demetrius (M); Lavinia (F); Mutius (M); Martius (M); Quintus (M); Aaron (M); Messenger (M); Young Lucius (M); Nurse (F); Publius (M); Country Fellow (M); Aemilius (M); First Goth (M); Second Goth (M)";;28;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/titus-andronicus.xml
shake000026;Q463126;Shakespeare, William;0;Coriolanus;;;;1608;;;;;67;false;;1623;67;3;45;11;11;2;361;1608;29;5;29948;28851;1460;302;2984;coriolanus;shake000026;ShakeDraCor;1608;;male;1564;1616;"CITIZENS.ROMAN.0.1_Cor (M); CITIZENS.ROMAN.0.2_Cor (M); Menenius (Unk); Martius Coriolanus (Unk); MESSENGERS.X.1_Cor (M); SENATORS.ROMAN.0.1_Cor (M); Cominius (Unk); Lartius (Unk); Sicinius (Unk); Brutus (Unk); SENATORS.VOLSCIAN.0.1_Cor (M); Aufidius (Unk); SENATORS.VOLSCIAN.0.2_Cor (M); SENATORS.VOLSCIAN_Cor (M); Volumnia (F); Virgilia (Unk); Gentlewoman (F); Valeria (F); MESSENGERS.X.2_Cor (M); SOLDIERS.ROMAN.0.1_Cor (M); SOLDIERS.ROMAN.0.2_Cor (M); SOLDIERS.ROMAN.0.3_Cor (M); MESSENGERS.X.3_Cor (M); Lieutenant (M); SOLDIERS.VOLSCIAN.0.1_Cor (M); Herald (M); MESSENGERS.X.4_Cor (M); OFFICERS.1_Cor (M); OFFICERS.2_Cor (M); CITIZENS.ROMAN.1_Cor (M); CITIZENS.ROMAN.2_Cor (M); CITIZENS.ROMAN.3_Cor (M); CITIZENS.ROMAN.4_Cor (M); CITIZENS.ROMAN.5_Cor (M); CITIZENS.ROMAN.6_Cor (M); CITIZENS.ROMAN.7_Cor (M); CITIZENS.ROMAN.8_Cor (M); SENATORS.ROMAN.0.2_Cor (M); AEDILES.X.2_Cor (M); Roman (M); Volscian (M); Citizen (M); SERVANTS.1_Cor (M); SERVANTS.2_Cor (M); SERVANTS.3_Cor (M); AEDILES.X.3_Cor (M); MESSENGERS.TRIBUNES.1_Cor (M); MESSENGERS.TRIBUNES.2_Cor (M); CITIZENS.ROMAN.0.3_Cor (M); Lieutenant (M); WATCHMEN.1_Cor (M); WATCHMEN.2_Cor (M); Young Martius (M); CONSPIRATORS.0.1_Cor (M); CONSPIRATORS.0.2_Cor (M); CONSPIRATORS.0.3_Cor (M)";;44;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/coriolanus.xml
shake000025;Q183304;Shakespeare, William;0;Troilus and Cressida;;;;1602;;;;;34;false;;;34;1;7;4;3;2;175;1602;26;5;28502;27592;1207;551;2417;troilus-and-cressida;shake000025;ShakeDraCor;1602;;male;1564;1616;"Prologue (Unk); Troilus (Unk); Pandarus (Unk); Aeneas (Unk); Cressida (F); Alexander (M); Troilus’s Boy (M); Agamemnon (Unk); Nestor (Unk); Ulysses (M); Menelaus (Unk); Ajax (Unk); Thersites (Unk); Achilles (Unk); Patroclus (Unk); Priam (Unk); Hector (Unk); Helenus (Unk); Cassandra (Unk); Paris (Unk); Diomedes (Unk); Paris’s Servingman (M); Helen (Unk); Troilus’s Man (M); Calchas (Unk); Deiphobus (Unk); Andromache (Unk); Diomedes’ Servingman (M); Bastard (M); MYRMIDONS.0.1_Tro (Unk); Antenor (Unk)";;38;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/troilus-and-cressida.xml
shake000024;Q672059;Shakespeare, William;0;Henry VIII;;;;1613;;;;;48;false;;;48;4;33;5;3;3;203;1613;18;5;26525;25039;1821;18;3164;henry-viii;shake000024;ShakeDraCor;1613;;male;1564;1616;"Prologue (Unk); Duke of Buckingham (M); Duke of Norfolk (M); Lord Abergavenny (M); Cardinal Wolsey (M); SECRETARIES.0.1_H8 (M); Brandon (M); Sergeant at Arms (M); King Henry the Eighth (Unk); Queen Katherine (F); Knevet, former Surveyor to Buckingham (M); Lord Chamberlain (M); Lord Sands (also Sir Walter Sands) (M); Sir Thomas Lovell (M); Sir Henry Guilford (M); Anne Bullen (Unk); Spirits, Princess Elizabeth as an infant, Duchess of Norfolk, Marquess and Marchioness of Dorset, Lords, Nobles, Countesses, Bishops, Judges, Priests, Ladies, Gentlemen, Gentlemen Ushers, Lord Mayor, Four Representatives of the Cinque Ports, Aldermen, Women, Musicians, Choristers, Guards, Tipstaves, Halberds, Vergers, Attendants, Servants, Messenger, Pages, Footboys, Grooms (Unk); First Gentleman (M); Second Gentleman (M); Sir Nicholas Vaux (M); Duke of Suffolk (M); Cardinal Campeius (Unk); Gardiner (M); Old Lady (F); Scribes (M); Crier (M); Queen’s Gentleman Usher (M); Bishop of Lincoln (M); Earl of Surrey (M); Cromwell (Unk); Third Gentleman (M); Griffith (M); Patience (F); Capuchius (M); Page to Gardiner (F); Sir Anthony Denny (M); Cranmer (M); Keeper (M); Doctor Butts (M); Lord Chancellor (M); Porter and his Man (M); Spirits, Princess Elizabeth as an infant, Duchess of Norfolk, Marquess and Marchioness of Dorset, Lords, Nobles, Countesses, Bishops, Judges, Priests, Ladies, Gentlemen, Gentlemen Ushers, Lord Mayor, Four Representatives of the Cinque Ports, Aldermen, Women, Musicians, Choristers, Guards, Tipstaves, Halberds, Vergers, Attendants, Servants, Messenger, Pages, Footboys, Grooms (Unk); Porter and his Man (M); Garter King of Arms (M); Epilogue (Unk)";;49;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/henry-viii.xml
shake000023;Q652011;Shakespeare, William;0;Richard III;;;;1593;;;;;59;false;;;59;2;35;14;14;3;443;1593;25;5;31765;30537;1482;33;3592;richard-iii;shake000023;ShakeDraCor;1593;;male;1564;1616;"Richard (Unk); George, Duke of Clarence (M); Sir Robert Brakenbury (Unk); William, Lord Hastings (M); Lady Anne (Unk); Gentleman (M); Earl Rivers (M); Lord Grey (M); Queen Elizabeth (Unk); Duke of Buckingham (M); Lord Stanley (M); Queen Margaret (Unk); Marquess of Dorset (M); Sir William Catesby (Unk); MURDERERS.1_R3 (M); MURDERERS.2_R3 (M); Keeper (M); King Edward IV (Unk); Boy (M); Duchess of York (F); Daughter (F); Archbishop (M); Richard, Duke of York (M); Prince Edward (Unk); Lord Mayor (M); Cardinal (M); Pursuivant (M); Sir John (M); Sir Thomas Vaughan (M); Sir Richard Ratcliffe (M); John Morton, Bishop of Ely (M); Lord Lovell (M); Scrivener (M); Page (M); James Tyrrel (M); Sir Christopher (M); Sheriff (M); Earl of Richmond (M); Earl of Oxford (M); Sir Walter Herbert (M); Sir James Blunt (M); Earl of Surrey (M); Duke of Norfolk (M); PrinceEdward_3H6 (M); HenryVI_1H6 (M)";;29;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/richard-iii.xml
shake000022;Q1241754;Shakespeare, William;0;Henry VI, Part 3;;;;1591;;;;;49;false;;1623;49;2;26;8;8;1;271;1591;28;5;26849;25276;1885;3;2905;henry-vi-part-3;shake000022;ShakeDraCor;1591;;male;1564;1616;"Warwick (Unk); York (MALE ); Edward King Edward IV (Unk); Montague (MALE ); Richard Gloucester (Unk); Norfolk (MALE ); King Henry VI (Unk); Northumberland (MALE ); Clifford (MALE ); Westmorland (Unk); Exeter (MALE ); Queen Margaret (Unk); Prince Edward (MALE ); Sir John (M); Rutland (M); Tutor (M); George Clarence (M); Son (M); Father (M); First Gamekeeper (M); Second Gamekeeper (M); Lady Grey Queen Elizabeth (F); Nobleman (M); King Lewis (M); Oxford (M); Lady Bona (F); Post (M); Somerset (M); Hastings (M); First Watch (M); Second Watch (M); Third Watch (M); Rivers (M); Huntsman (M); Lieutenant (M); Mayor (M); Montgomery (M); Soldier (M); First Messenger (M); Second Messenger (M); Somerville (M)";;27;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/henry-vi-part-3.xml
shake000021;Q1236216;Shakespeare, William;0;Henry VI, Part 2;;;;1591;;;;;72;false;;1623;72;2;42;15;13;2;487;1591;24;5;27902;26300;1924;211;2598;henry-vi-part-2;shake000021;ShakeDraCor;1591;;male;1564;1616;"Suffolk (Unk); King Henry VI (Unk); Queen Margaret (Unk); Gloucester (M); Cardinal (M); Somerset (Unk); Buckingham (M); York (Unk); Salisbury (Unk); Warwick (Unk); Duchess (Unk); MESSENGERS.X.1_2H6 (M); Hume (M); PETITIONERS.0.1_2H6 (M); PETITIONERS.0.2_2H6 (M); Thump (M); Horner (M); Bolingbroke (M); Spirit (Unk); Jourdain (F); Man (M); Simpcox (M); Wife (F); Mayor (M); Beadle (M); PRENTICES.1_2H6 (M); PRENTICES.2_2H6 (M); HERALDS.X.1_2H6 (M); Sheriff (M); Stanley (Unk); Post (Unk); Vaux (M); Lieutenant (M); GENTLEMEN.1_2H6 (M); Master (M); Mate (M); GENTLEMEN.2_2H6 (M); Whitmore (M); Bevis (M); Holland (M); Cade (Unk); Dick (M); Smith (M); Clerk (M); Michael (M); Stafford (M); Brother (M); Saye (M); MESSENGERS.1_2H6 (M); MESSENGERS.2_2H6 (M); Scales (M); MESSENGERS.X.2_2H6 (M); George (M); Clifford (Unk); MESSENGERS.X.3_2H6 (M); Iden (M); Edward (Unk); Richard (Unk); Young Clifford (M)";;27;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/henry-vi-part-2.xml
shake000020;Q643236;Shakespeare, William;0;Henry VI, Part 1;;;;1591;;;;;63;false;;1623;63;1;15;26;26;1;373;1591;27;5;23423;21962;1887;3;2689;henry-vi-part-1;shake000020;ShakeDraCor;1591;;male;1564;1616;"Bedford (Unk); Gloucester (Unk); Exeter (Unk); Winchester (Unk); Charles (Unk); Alanson (Unk); Reignier (Unk); Orleance (Unk); Pucelle (Unk); Woodville (M); Mayor (M); Master Gunner (M); Boy (M); Salisbury (Unk); Talbot (Unk); Gargrave (Unk); Glansdale (M); Sergeant (M); Burgundy (Unk); Countess (F); Porter (M); Plantagenet York (Unk); Suffolk (Unk); Somerset (M); Warwick (Unk); Vernon (M); Lawyer (M); Mortimer (M); King Henry VI (Unk); Fastolf (Unk); Basset (M); General (M); Lucy (M); John Talbot (Unk); Legate (M); Margaret (Unk); Shepherd (Unk)";;27;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/henry-vi-part-1.xml
shake000019;Q495954;Shakespeare, William;0;Henry V;;;;1599;;;;;48;false;;;48;2;16;7;7;2;206;1599;29;5;27982;27202;805;504;1825;henry-v;shake000019;ShakeDraCor;1599;;male;1564;1616;"Bishop of Canterbury (Unk); Bishop of Ely (Unk); Henry V, King of England (Unk); Thomas, Duke of Exeter (Unk); Earl of Westmoreland (Unk); Bardolph (M); Nym (M); Pistol (M); Hostess Quickly (F); Boy (M); John, Duke of Bedford (Unk); Lord Scroop of Masham (Unk); Earl of Cambridge (Unk); Sir Thomas Grey (M); King of France (Unk); Dauphin (Unk); Constable of France (Unk); Captain Fluellen (M); Captain Gower (M); Captain Jamy (M); Captain MacMorris (M); Governor_H5 (M); Katherine (Unk); Alice (F); Duke of Brittany (Unk); Montjoy (M); Humphrey, Duke of Gloucester (Unk); Duke of Orléans (Unk); Lord Rambures (Unk); Sir Thomas Erpingham (Unk); Alexander Court (M); John Bates (M); Michael Williams (M); Lord Grandpré (M); Earl of Salisbury (Unk); Duke of York (Unk); Monsieur Le Fer (M); Duke of Bourbon (Unk); Earl of Warwick (Unk); Queen Isabel of France (Unk); Duke of Burgundy (Unk)";;35;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/henry-v.xml
shake000018;Q1232349;Shakespeare, William;0;Henry IV, Part II;;;;1598;;;;;50;false;;1598;50;5;29;11;10;3;232;1598;19;5;28461;27650;1015;620;1589;henry-iv-part-ii;shake000018;ShakeDraCor;1598;;male;1564;1616;"Rumor (M); Lord Bardolph (M); Earl of Northumberland (M); Travers (M); Morton (M); Sir John Falstaff (M); Falstaff’s Page (F); Lord Chief Justice (M); Archbishop (M); Lord Mowbray (M); Lord Hastings (M); Hostess (F); Fang (M); Snare (M); Gower (M); Prince Hal King Henry V (Unk); Poins (M); Bardolph (M); Northumberland’s wife (F); Lady Percy (F); Doll Tearsheet (F); Pistol (M); Peto (M); King Henry IV (Unk); Earl of Warwick (M); Justice Robert Shallow (M); Justice Silence (M); Mouldy (M); Shadow (M); Wart (M); Feeble (M); Bullcalf (M); Earl of Westmoreland (M); John of Lancaster (Unk); Sir John Colevile (M); Humphrey of Gloucester (Unk); Thomas of Clarence (Unk); Harcourt (M); Davy (M); Epilogue (Unk)";;34;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/henry-iv-part-ii.xml
