Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
ita000054;Q207410;Ponte, Lorenzo;0;Così fan tutte;;;http://www.bibliotecaitaliana.it/testo/bibit000062;1790;Garzanti;Milano;1990;;9;true;1790;;9;3;5;1;3;1;33;1789/1790;34;2;10653;9986;1201;0;1970;da-ponte-cosi-fan-tutte;ita000054;ItaDraCor;1790;;male;1749;1838;"Ferrando (M); Guglielmo (M); Don Alfonso (M); Fiordiligi (F); Dorabella (F); Coro di soldati e popolani (M); Despina (F); Coro di marinai (M); Coro di servi (Unk)";;41;false;https://www.wikidata.org/wiki/Q268166;DraCor: https://dracor.org/;texts/da-ponte-cosi-fan-tutte.xml
ita000053;Q84166700;Correggio, Niccolò;0;Fabula de Cefalo;;;http://www.bibliotecaitaliana.it/testo/bibit000249;1487;UTET;Torino;1983;;16;false;1487;1507;16;9;6;1;1;1;65;;5;5;8693;7285;1017;0;999;da-correggio-fabula-de-cefalo;ita000053;ItaDraCor;1487;;male;1450;1508;"Aurora (F); Cefalo (M); Fante/Fantesca (F); Procri (F); Diana (F); Fauno (M); Coridone (M); Tirsi (M); Damone (M); Alfesibeo (M); Calliope (F); Filis (F); Galatea (F); Deiopea (F); Colomba (Unk); Coro (F)";;37;false;https://www.wikidata.org/wiki/Q18945677;DraCor: https://dracor.org/;texts/da-correggio-fabula-de-cefalo.xml
ita000052;Q84265838;Cosci, Livio;0;Paola da Buti;;;http://www.bibliotecaitaliana.it/testo/bibit000501;1933;Nistri-Lischi e Pacini;[Pisa];1987;;13;false;1933;;14;4;9;1;0;1;33;1930;22;4;6116;5211;1199;0;905;cosci-paola-da-buti;ita000052;ItaDraCor;1933;;male;1889;1970;"Ugo (M); Guglielmo (M); Giovanni (M); Paola (F); Armida (F); Matanno (M); Padre Anselmo (M); Padre Antonio (M); Maria (F); Contadina (F); Melosso (M); Paolo Vitelli (M); Lucio Malvezzi (M)";;44;false;https://www.wikidata.org/wiki/Q98843249;DraCor: https://dracor.org/;texts/cosci-paola-da-buti.xml
ita000051;Q84264636;Cecchini, Pier;0;L'amico tradito;;Comedy;http://www.bibliotecaitaliana.it/testo/bibit000920;1633;UTET;Torino;1982;;12;false;;1633;12;3;9;0;0;2;39;;66;3;13508;12645;666;635;0;cecchini-l-amico-tradito;ita000051;ItaDraCor;1633;;male;1563;1645;"Pantalone (M); Dottor Graziano (M); Virginio (M); Celia (F); Cinzio (M); Bagattino (M); Capitan Rinoceronte (M); Fritellino (M); Flaminia (F); Franceschina (F); Carluccio (M); Uno togato (M)";;70;false;https://www.wikidata.org/wiki/Q3902918;DraCor: https://dracor.org/;texts/cecchini-l-amico-tradito.xml
ita000050;Q84264198;Cascina, Pietro;0;Alfea reverente;;;http://www.bibliotecaitaliana.it/testo/bibit001316;1639;appresso Francesco delle Dote;Pisa;1639;;4;false;;1639;4;3;0;1;2;1;6;;1;0;2896;929;67;0;148;cascina-alfea-reverente;ita000050;ItaDraCor;1639;;male;;;"Alfea (F); Coro delle Ninfe dell'Arno (F); Due delle Ninfe (F); La Fama (Unk)";;;;https://www.wikidata.org/wiki/Q85617463;DraCor: https://dracor.org/;texts/cascina-alfea-reverente.xml
ita000049;Q84263753;Carmignani, Giovanni;0;Polissena;;;http://www.bibliotecaitaliana.it/testo/bibit000059;1789;nella stamperia Bonducciana;Firenze;1789;;6;false;;1789;6;2;4;0;0;1;11;;30;5;17070;14566;1401;0;2179;carmignani-polissena;ita000049;ItaDraCor;1789;;male;1768;1847;"Pirro (M); Arsindo (M); Calcante (M); Polidoro (M); Polissena (F); Erope (F)";;21;false;https://www.wikidata.org/wiki/Q3766965;DraCor: https://dracor.org/;texts/carmignani-polissena.xml
ita000048;Q84263577;Cammelli, Antonio;0;Panfila;;;http://www.bibliotecaitaliana.it/testo/bibit000864;1508;UTET;Torino;1983;;15;false;;1508;15;6;6;3;2;5;14;1499;31;5;11877;11326;75;1;1581;cammelli-panfila;ita000048;ItaDraCor;1508;;male;1436;1502;"Demetrio (M); Panfila (F); Filostrato (M); Coro (Unk); Amore (Unk); Tindaro (M); Quatro sirene (F); Pandero (M); Parche (F); Atropos (F); Tinolo (M); Pinzia (M); Donzella (F); Filada (F); Litigia (Unk)";;;true;https://www.wikidata.org/wiki/Q3619347;DraCor: https://dracor.org/;texts/cammelli-panfila.xml
ita000047;Q84263231;Boiardo, Matteo;0;Timone;;;http://www.bibliotecaitaliana.it/testo/bibit000124;1487;UTET;Torino;1983;;14;false;;;14;0;10;4;0;2;30;1487;7;5;14240;13681;548;0;1905;boiardo-timone;ita000047;ItaDraCor;1487;;male;1441;1494;"Luciano (M); Timone (M); Iove (M); Mercurio (M); Richeza (Unk); Povertate (Unk); Fama (Unk); Gnatonide (M); Fliade (M); Demea (M); Trasicle (M); Auxilio (Unk); Siro (M); Parmeno (M)";;46;false;https://www.wikidata.org/wiki/Q319557;DraCor: https://dracor.org/;texts/boiardo-timone.xml
ita000046;Q84263204;Bellincioni, Bernardo;0;Ripresentazione di Pavia;;;http://www.bibliotecaitaliana.it/testo/bibit001683;1492;UTET;Torino;1983;;11;false;;;11;1;2;8;1;1;55;1492;1;0;2402;2127;115;0;316;bellincioni-ripresentazione-di-pavia;ita000046;ItaDraCor;1492;;male;1452;1492;"Mercurio (M); Iunone (F); Grammatica (Unk); Logica (Unk); Retorica (Unk); Aritmetica (Unk); Geometria (Unk); Astrologia (Unk); Musica (Unk); Saturno (M); Li Quatri Elementi (Unk)";;40;false;https://www.wikidata.org/wiki/Q425969;DraCor: https://dracor.org/;texts/bellincioni-ripresentazione-di-pavia.xml
ita000045;Q84263187;Bellincioni, Bernardo;0;Egloga ovvero Pasturale;;;http://www.bibliotecaitaliana.it/testo/bibit001013;1493;UTET;Torino;1983;;7;false;;1493;7;1;6;0;1;1;21;1488;1;0;2036;1832;151;0;268;bellincioni-egloga-ovvero-pasturale;ita000045;ItaDraCor;1493;;male;1452;1492;"Silvano (M); Piride (M); Alfeo (M); Putto (M); Omo (M); Donna (F); Pastori (M)";;;true;https://www.wikidata.org/wiki/Q425969;DraCor: https://dracor.org/;texts/bellincioni-egloga-ovvero-pasturale.xml
ita000044;;Beccari, Agostino;0;Il sacrificio (1587);;;http://www.bibliotecaitaliana.it/testo/bibit000461;1587;RES;Torino;1999;;12;false;;1587;12;3;9;0;1;3;33;;33;5;22174;19448;125;0;2704;beccari-il-sacrificio-1587;ita000044;ItaDraCor;1587;;male;1508;1590;"Erasto (M); Orenio (M); Carpalio (M); Turico (M); Ofelio (M); Satiro (M); Callinome (F); Melidia (F); Stellinia (F); Sacerdote (M); Coro (M); Brusco (M)";;79;false;https://www.wikidata.org/wiki/Q20534656;DraCor: https://dracor.org/;texts/beccari-il-sacrificio-1587.xml
ita000043;;Beccari, Agostino;0;Il sacrificio (1555);;;http://www.bibliotecaitaliana.it/testo/bibit000701;1555;per Francesco di Rossi da Valenza;In Ferrara;1555;;11;false;;1555;11;3;8;0;1;2;33;;29;5;18482;16759;112;0;2343;beccari-il-sacrificio-1555;ita000043;ItaDraCor;1555;;male;1508;1590;"Erasto (M); Orenio (M); Carpalio (M); Turico (M); Ophelio (M); Satiro (M); Callinome (F); Melidia (F); Stellinia (F); Sacerdote (M); Choro (M)";;47;false;https://www.wikidata.org/wiki/Q20534656;DraCor: https://dracor.org/;texts/beccari-il-sacrificio-1555.xml
ita000042;Q83893963;Barbieri, Nicolò;0;L'inavertito;;Comedy;http://www.bibliotecaitaliana.it/testo/bibit001564;1629;UTET;Torino;1982;;13;false;;;13;3;10;0;1;1;51;1629;72;5;36180;34310;332;1487;20;barbieri-l-inavertito;ita000042;ItaDraCor;1629;;male;1576;1641;"Cinzio (M); Fulvio (M); Scappino (M); Celia (F); Mezzettino (M); Beltrame (M); Lavinia (F); Pantalone (M); Birro (M); Spacca (M); Capitano Bellorofonte Martellione (M); Corte (M); Laudomia (F)";;53;false;https://www.wikidata.org/wiki/Q2055429;DraCor: https://dracor.org/;texts/barbieri-l-inavertito.xml
ita000041;Q3820931;Ariosto, Ludovico;0;La Lena;;;http://www.bibliotecaitaliana.it/testo/bibit000732;1528;Mondadori;Milano;1974;;18;false;1528;;18;2;16;0;2;1;46;;36;5;14006;13212;92;0;2042;ariosto-la-lena;ita000041;ItaDraCor;1528;;male;1474;1533;"Corbolo (M); Flavio (M); Lena (F); Fazio (M); Ilario (M); Egano (M); Pacifico (M); Cremonino (M); Torbido (M); Gemignano (M); Giuliano (M); Bartolo (M); Magagnino (M); Spagnolo (M); Sbirri (M); Menica (F); Staffieri (M); Menghino (M)";;54;false;https://www.wikidata.org/wiki/Q48900;DraCor: https://dracor.org/;texts/ariosto-la-lena.xml
ita000040;;Ariosto, Ludovico;0;La Cassaria (red. in versi);;;http://www.bibliotecaitaliana.it/testo/bibit000819;1529;Mondadori;Milano;1974;;19;false;1529;;19;3;16;0;0;1;48;1528/1529;34;0;23893;22604;98;0;3531;ariosto-la-cassaria-red-in-versi;ita000040;ItaDraCor;1529;;male;1474;1533;"Nebbia (M); Corbo (M); Corisca (F); Eulalia (F); Erofilo (M); Caridoro (M); Lucramo (M); Furbo (M); Vulpino (M); Fulcio (M); Trappola (M); Brusco (M); Stamma (F); Bruno (M); Rosso (M); Riccio (M); Crisobolo (M); Critone (M); Servitor (M)";;55;false;https://www.wikidata.org/wiki/Q48900;DraCor: https://dracor.org/;texts/ariosto-la-cassaria-red-in-versi.xml
