Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of Words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement
ger000559;Q1865099;Schnitzler, Arthur;0;Literatur;Lustspiel in einem Akt;Comedy;http://www.textgridrep.org/textgrid:v3s3.0;1902;;;;;3;False;1902;1902;3;1;2;0;0;1;3;1901;1;1;7031;6944;308;405;0;schnitzler-literatur;ger000559;GerDraCor;1902;;male;1862;1931;"Klemens (M); Margarete (F); Gilbert (M)";;40;False;https://www.wikidata.org/wiki/Q44331;DraCor: https://dracor.org/
ger000560;Q111371024;Chlumberg, Hans;0;Die Führer;Ein Schauspiel in vier Akten und einem Vorspiel;;http://www.textgridrep.org/textgrid:kw97.0;1919;;;;;31;False;;1919;31;3;28;0;1;1;106;;34;4;23692;23053;3552;1019;0;chlumberg-die-fuehrer;ger000560;GerDraCor;1919;;male;1897;1930;"Heldenberg (M); Franz (M); Krondorf (M); Hohenfels (M); Bergmann (M); Ferndorf (M); Marie (F); Annie (F); Johann (M); Viktor (M); Professor (M); Meyer, Vater (M); Meyer, Sohn (M); Dvorsky (M); Heinz (M); Arzt (M); Steggendorff (M); Alice (F); Horst (M); Erster Herr (3. Akt) (M); Ferdinand (M); Ein Herr (M); Waldow (M); Diener (M); Dr. Schröder (M); Reiter (M); 1. Herr (4. Akt) (M); 2. Herr (M); 3. Herr (M); Kräftige Männerstimme (M)";;22;False;https://www.wikidata.org/wiki/Q102892;DraCor: https://dracor.org/
ger000561;Q111396487;Müller, Painter;0;Fausts Leben dramatisiert;;;http://www.textgridrep.org/textgrid:spgf.0;1778;;;;;73;False;;1778;73;5;67;1;4;3;536;;16;0;25245;23687;1003;615;130;maler-mueller-fausts-leben-dramatisiert;ger000561;GerDraCor;1778;Maler Müller, Friedrich;male;1749;1825;"Berlicki (M); Vitzliputzli (M); Pferdtoll (M); Mogol (M); Mehu (M); Satan (M); Cacal (M); Atoti (M); Babillo (M); Luzifer (M); Mephistopheles (M); Zweiter Geist (M); Dritter Geist (M); Vierter Geist (M); Fünfter Geist (M); Erster Geist (M); Sechster Geist (M); Siebenter Geist (M); Izick (M); Mauschel (M); Faust (M); Wagner (M); Knellius (M); Sandel (M); Schwamm (bucklicht) (M); Blass (stollfüßig) (M); Amsel (einäugig) (M); Ahasverus (stammlend) (M); Eckius (M); Kölbel (M); Gottesspürhund (M); Panzer (M); Herz (M); Minchen (F); Mädchen (F); Bube (M); Hanne (F); Fausts Vater (M); Keller (M); Steffen (M); Strick (M); Fang (M); Einer (M); Zweiter (M); Dritter (M); Erster Spieler (M); Zweiter Spieler (M); Dritter Spieler (M); Vierter Spieler (M); Spieler (M); Alle Spieler (M); Stimme (M); Fremder (M); Soldat (M); Bürger (M); Ein Schumachersweib (F); Eine Stimme von außen (Unk); Ein anderer (M); Ein anderer (M); Student (M); Schummel (M); Erster Musikant (M); Zweiter Musikant (M); Gretchen (F); Nachtwächter (M); Curballo (M); Zweiter Teufel (M); Sechster Teufel (M); Siebenter Teufel (M)";;29;False;https://www.wikidata.org/wiki/Q481491;DraCor: https://dracor.org/
ger000562;Q111442342;Chlumberg, Hans;0;Wunder um Verdun;Dreizehn Bilder;;http://www.textgridrep.org/textgrid:kw94.0;1930;;;;;115;False;1930;1931;115;13;85;17;24;1;1347;;13;0;26150;23904;4529;1158;9;chlumberg-wunder-um-verdun;ger000562;GerDraCor;1930;;male;1897;1930;"Mazas (M); Vernier (M); Miß Greeley (F); Jackson (M); Pillwein (M); Remusat (M); Lerat (M); Smith (M); Mme. Lerat (F); Mme. Duvernois (F); Sharpe (M); Marshall (M); Brohl (M); Henkel (M); Dorothy (F); Heydner (M); Delcampe (M); Eine hämische Stimme (M); Sprecher des Rundfunks (M); Overtüsch (M); Eine Stimme (Bild 3) (M); Ein Ruf (Bild 3) (M); Ein Ruf (Bild 3) (M); Der Bote (M); Morel (M); Weber (M); Dubois (M); Sonneborn (M); Roubeau (M); Schröder (M); Vaudemont (M); Hessel (M); Baillard (M); Verron (M); Lehmann (M); Wittekind (M); Lamarque (M); Gadenau (M); Ein Colonel (M); Odette (F); Frau Overtüsch (F); Leeds (M); Grathford (M); Erster Zeitungsjunge (M); Zweiter Zeitungsjunge (M); Dritter Zeitungsjunge (M); Vierter Zeitungsjunge (M); Frau Verron (F); Mönch (M); Zweiter Mönch (M); Schmidt (M); Jacques (M); Vadinet (M); Jeannette (F); Frau Vadinet (F); Gendarm (M); Einer (M); Pfarrer (M); Einer (M); Zweiter (M); Dritter (M); Vierter (M); Einer (M); Zweiter (M); Einer (M); Zweiter (M); Dritter (M); Geishügel (M); Kropfgans (M); Witterschlick (M); Köchler (M); Girgenrath (M); Frau Köchler (F); Mutter Weber (F); Lamparenne (M); Clarkson (M); Charrier (M); Trolliet (M); Bertolotti (M); Eine Stimme von der Straße (M); Eine gellende Stimme (M); Dupin (M); Steppach (M); Schriftführer (M); Palm (M); Forbach (M); Yoshitomo (M); Tsatanaku (M); Prälat (M); Fritzchen (M); Frau Henkel (F)";;33;False;https://www.wikidata.org/wiki/Q102892;DraCor: https://dracor.org/
ger000563;Q107611479;Stramm, August;0;Erwachen;;;http://www.textgridrep.org/textgrid:w3x0.0;1914;Limes;Wiesbaden;1963;21;15;False;1921;1914;15;5;8;2;3;1;105;;1;0;4271;3348;2355;237;0;stramm-erwachen;ger000563;GerDraCor;1914;;male;1874;1915;"Er (M); Sie (F); Wirt (M); Hausknecht (M); Hausierer (M); Wachtmeister (M); Schmied (M); Seine Frau (F); Sein Freund (M); Dirne (F); Weib (F); Es (F)";;40;False;https://www.wikidata.org/wiki/Q61657;DraCor: https://dracor.org/
ger000564;Q657215;Büchner, Georg;0;Woyzeck;Ein Drama;;http://www.textgridrep.org/textgrid:kscv.0;1837;;;;;30;False;1913;1875;30;7;21;2;2;3;60;;49;0;10353;9425;848;411;101;buechner-woyzeck;ger000564;GerDraCor;1837;;male;1813;1837;"Marktschreier (M); Woyzeck (M); Marie (F); Tambourmajor (M); Andres (M); Karl/Narr (M); Barbier (M); Erstes Kind (Unk); Zweites Kind (Unk); Großmutter (F); Erste Person (M); Zweite Person (M); Käthe (F); Wirth (M); Gerichtsdiener (M); Margreth (F); Alter Mann (M); Ausrufer (M); Herr (M); Student (M); Erster Handwerksbursch (M); Zweiter Handwerksbursch (M); Unterofficier (M); Doctor (M); Hauptmann (M); Eine (F); Andre (F); Jud (M)";;24;False;https://www.wikidata.org/wiki/Q154014;DraCor: https://dracor.org/
ger000565;Q1169375;Bahr, Hermann;0;Das Konzert;Lustspiel in drei Akten;Comedy;https://www.projekt-gutenberg.org/bahr/konzert/index.html;1909;;;;;16;False;1909;1909;16;11;4;1;0;1;87;;3;3;38328;37703;11390;1727;0;bahr-das-konzert;ger000565;GerDraCor;1909;;male;1863;1934;"Gustav Heink (M); Frau Fanny Mell (F); Frau Claire Floderer (F); Fräulein Selma Meier (F); Eva Gerndl (F); Frau Doktor Kann (F); Miss Garden (F); Fräulein Wehner (F); Marie (F); Johann (M); Eine Stimme (Unk); Dr. Franz Jura (M); Pollinger (M); Frau Pollinger (F); Delfine (F); Die Magd (F)";;46;False;https://www.wikidata.org/wiki/Q94034;DraCor: https://dracor.org/
ger000566;Q204780;Kafka, Franz;0;Der Gruftwächter;;;http://www.kafka.org/index.php?gruftwaechter;1917;S. Fischer;Frankfurt/M.;1993;14;3;False;1950;1936;3;0;3;0;0;1;3;;1;1;1779;1710;214;103;0;kafka-der-gruftwaechter;ger000566;GerDraCor;1917;;male;1883;1924;"Fürst (M); Kammerherr (M); Wächter (M)";;34;False;https://www.wikidata.org/wiki/Q905;DraCor: https://dracor.org/
ger000567;Q111765604;Dohm, Hedwig;0;Die Ritter vom Goldenen Kalb;Lustspiel in 1 Akt;Comedy;https://www.projekt-gutenberg.org/dohm/goldkalb/goldkalb.html;1879;;;;;6;False;1879;1879;6;2;4;0;0;1;10;;14;0;9210;8830;1022;362;0;dohm-die-ritter-vom-goldenen-kalb;ger000567;GerDraCor;1879;;female;1831;1919;"Herbert von Buch (M); Victor Taschenberg (M); Graf Xaver Nicolowitsch (M); Hildegard von Eichstädt (F); Baron Friedrich von Werlitz (M); Ilse Müller (F)";;48;False;https://www.wikidata.org/wiki/Q71491;DraCor: https://dracor.org/
ger000568;Q111794941;Dohm, Hedwig;0;Ein Schuß in's Schwarze;Lustspiel in einem Akt;Comedy;https://www.projekt-gutenberg.org/dohm/schuss/index.html;1878;;;;;6;False;1879;1878;6;3;3;0;0;1;10;;18;0;8551;8283;1210;375;5;dohm-ein-schuss-ins-schwarze;ger000568;GerDraCor;1878;;female;1831;1919;"Marie von Gersdorf (F); Fanny Schmidt (F); Franz Kutzer (M); Laura von Walther (F); Max von Dernburg (M); Friedrich von Walther (M)";;47;False;https://www.wikidata.org/wiki/Q71491;DraCor: https://dracor.org/
