Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of Words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement
als000001;Q77593548;Arnold, Johann;0;Der Pfingstmontag;Lustspiel in Straßburger Mundart;;https://nakala.fr/10.34847/nkl.9aad5l57;1816;;;;;16;False;1835;1816;16;8;8;0;0;1;108;;42;5;36362;35959;719;0;4282;arnold-der-pfingstmontag;als000001;AlsDraCor;1816;;male;1780;1829;"Frau Dorothee (Dorthee) (F); Hr. Starkhans (M); Lieschen (Lissel) (F); Christinchen (Christinel) (F); Reinhold (M); Lizenziat Mehlbrüh (M); Frau Rosine (F); Herr Mehlbrüh (Mehlbrüej) (M); Wolfgang (M); Brigitte (Bryd) (F); Frau Prechterin (Prechtere) (F); Klärchen (Klärel) (F); Gläsler (M); Barbara (Berwel) (F); Pfarrer Christlieb (M); Claus (M)";;36;False;https://www.wikidata.org/wiki/Q3180474;DraCor: https://dracor.org/
als000002;Q83786534;Stoskopf, Gustave;0;In’s Ropfer’s Apothek;Schwank in 3 Aufzügen;;https://www.numistral.fr/ark:/12148/bpt6k9400890z;1907;;;;;17;False;1907;1907;17;7;10;0;0;1;116;;3;3;22300;21638;4638;1233;2;stoskopf-ins-ropfers-apothek;als000002;AlsDraCor;1907;;male;1869;1944;"Antoine Ropfer (M); D’r Chrischtenatz (M); Jules Salber (M); Jeanne (F); Ammej (F); Emilie (F); Anatol (M); Schampetiß Schneider (gen. Général) (M); Albert Reißer (M); Erster Handwerker (M); Zweiter Handwerker (M); Madame Susanne Schmidt (F); Susanne (F); Piefke (M); Marie (F); Jean (M); Wanda Stern (F)";;38;False;https://www.wikidata.org/wiki/Q923554;DraCor: https://dracor.org/
als000003;Q90885236;Stoskopf, Gustave;0;D’r Hoflieferant;Elsässische Komödie in 3 Aufzügen von G. Stoskopf;;https://www.numistral.fr/ark:/12148/bpt6k91095937;1905;;;;;21;False;1905;1906;21;5;13;3;3;1;210;;3;3;22836;22419;3019;1132;0;stoskopf-dr-hoflieferant;als000003;AlsDraCor;1905;;male;1869;1944;"Auguste Grinsinger (M); Georges Ehrstein (M); Jeannette Grinsinger (F); Lisa Grinsinger (F); Fritz Grinsinger (M); Olga Gauthier (F); Caroline Grinsinger (F); Marie (F); Rièmer (M); Dr. Kneppchen (M); Charles Durand (M); Hans Grinsinger (M); Karl Gauthier (M); Le baron de Rose (M); Ein Diener (M); Ein Mitglied des Sachsenbundes (M); Ein Gendarm (M); Die Mitglieder der Fanfare (Unk); Die Mitglieder des Sachsenbundes (Unk); Ein Mitglied der Fanfare (M); Alle (Unk)";;36;False;https://www.wikidata.org/wiki/Q923554;DraCor: https://dracor.org/
als000004;Q91900355;Hart, Marie;0;D’r poetisch Oscar;Einakter vun Marie Hart. Nej bearweit vun E. Deck, Regisseur vom Els. Theater in Hawenau.;;https://www.numistral.fr/ark:/12148/bpt6k9109761z;1937;Edition de théâtre et de musique L. Jaggi-Reiss, Gundershoffen (Bas-Rhin);;;;6;False;;1937;6;3;3;0;0;1;13;;10;0;5039;4665;352;224;7;hart-dr-poetisch-oscar;als000004;AlsDraCor;1937;;female;1856;1924;"Madame Schweberle (F); Oscar (M); Schakob (M); Madame Lewermann (F); Suzanne (F); Jean Brey (M)";;;True;https://www.wikidata.org/wiki/Q1897363;DraCor: https://dracor.org/
als000005;Q92047713;Greber, Jules;0;Sainte-Cécile!;Lustspiel in einem Aufzuge in Straßburger Mundart von Julius Greber;;https://www.numistral.fr/ark:/12148/bpt6k91095618;1897;Verlag von Schlesier & Schweikhardt;;;;7;False;;1897;7;2;5;0;0;1;13;1897;15;0;10715;10518;987;466;0;greber-sainte-cecile;als000005;AlsDraCor;1897;;male;1868;1914;"Cécile (F); É Kommissionär (M); Sophie (F); Désiré Enishänsel (M); Anatole Stieffatre (M); Jules Karcher (M); Barthélemy Schanté (M)";;29;False;https://www.wikidata.org/wiki/Q91904226;DraCor: https://dracor.org/
als000006;Q97285602;Clemens, Paul;0;Chrischtowe;E Wihnachtsstüeckel in 1 Akt in elsässischem Dialekt füer kleine und grossi Kinder;;https://www.numistral.fr/ark:/12148/bpt6k91095403;1919;Société d’Edition de la Haute-Alsace S. A. Colmar 1919;;;;12;False;;1919;12;1;7;4;3;1;66;;1;1;5280;5035;432;156;60;clemens-chrischtowe;als000006;AlsDraCor;1919;;male;1876;1928;"Dr Grossbabbe (M); Schorschel (M); Marikel (F); Xaverel (M); Spähnelänz (M); Alli (Unk); Kinder (Unk); Nissmeier (M); Voltz Martin (M); Marikel un Xavier (Unk); ’s Chrischtkindel (Unk); Dr Hanstrapp (M)";;43;False;https://www.wikidata.org/wiki/Q96464291;DraCor: https://dracor.org/
als000007;Q97695017;Bastian, Ferdinand;0;D’r Hofnarr Heidideldum;Märel in 6 Bilder un 2 Verwandlunge vun Ferd. Bastian. Musik von Aug. Schwoob;;https://www.numistral.fr/ark:/12148/bpt6k9109710n;1937;Imprimerie A. Willm – Niderbronn-les-Bains;;;;30;False;;1937;30;7;17;6;4;1;241;;43;6;14719;12061;3458;796;64;bastian-dr-hofnarr-heidideldum;als000007;AlsDraCor;1937;;male;1868;1944;"Minischter Güggumseck (M); Prinz Aristide vun Sabatine (Hofnarr Heidideldum) (M); Minischter Gäggele (M); Kinj Gourmand (M); Kinigin Dificile (F); Baronesse Langue de chat (F); Baronesse Bonbonnière (F); Biberon (M); Babilotte (F); Alli (Unk); Scharf (M); Winmuck (M); Schablür (F); Prinzess Yoyotte (F); Kinj Mickey (M); Zieselmiesel (F); Opodeldock (M); Schnurrdiburr (M); Mumes (M); Schimmel (M); Maharadscha Maja Rahja (M); Prinz Arcadin vun Chantalem (M); Prinz Bäbbelenz vun Gumberland (M); Kinj Niesatt (M); Coucou (M); Mickeymies (Unk); 1. Soldat (Unk); 2. Soldat (Unk); Drache (Unk); Alli Mickeymiesle (Unk)";;69;False;https://www.wikidata.org/wiki/Q13099282;DraCor: https://dracor.org/
als000008;Q106592612;Bastian, Ferdinand;0;D'r Hans im Schnokeloch;Volksspiel in 4 Aufzügen mit Musik, Gesang und Tanz von Ferd. Bastian;;https://www.numistral.fr/ark:/12148/bpt6k9109742m;1930;Druck und Verlag: Imprimerie du Nouveau Journal de Strasboug S. à. r. l.;;;;22;False;;1930;22;10;11;1;1;1;188;;4;4;20644;19735;3512;1238;134;bastian-dr-hans-im-schnokeloch;als000008;AlsDraCor;1930;;male;1868;1944;"Hans (M); Casper (M); Angenes (F); Lehn (F); François (M); Löjel (M); Frau Bartelmost (F); Gerôme (M); Urschel (F); Sybille (F); Bärwel (F); Jüstinel (F); Amelie (F); Nessnass (M); Frau Nessnass (F); Stauffert (M); Alle (Unk); Knabe (M); Frau Amos (F); Hasenfratz (M); Küfer (M); Grosskost (M)";;62;False;https://www.wikidata.org/wiki/Q13099282;DraCor: https://dracor.org/
als000009;Q106604829;Bastian, Ferdinand;0;D'r Maischter hett gewunne!;Schwank in aam Akt;;https://www.numistral.fr/ark:/12148/bpt6k9109712g;1937;Édition de théâtre et de musique L. Jaggi-Reiss Gundershoffen (Bas-Rhin);;;;8;False;;1937;8;0;8;0;0;1;21;;10;1;4474;4292;401;287;0;bastian-dr-maischter-hett-gewunne;als000009;AlsDraCor;1937;;male;1868;1944;"Eddes (M); Addes (M); Schakob (M); Schaköbel (M); Mirliton (M); Dorel (M); Drohtspitz (M); Linser (M)";;69;False;https://www.wikidata.org/wiki/Q13099282;DraCor: https://dracor.org/
als000010;Q106594175;Bastian, Ferdinand;0;E Sportschochzitt;E Farce in aam Akt;;https://www.numistral.fr/ark:/12148/bpt6k91097112;1937;Edition de théatre et de musique L. Jaggi-Reiss, Gundershoffen (Bas-Rhin);;;;8;False;;1937;8;3;9;0;0;1;20;;12;1;3555;3176;673;202;8;bastian-e-sportschochzitt;als000010;AlsDraCor;1937;;male;1868;1944;"Hortense (F); Octavie (M); Conrad (M); Caroline (F); Président vum Fuessballe-Club «Etoile» (M); Grossmame (F); Camille (M); Gaston (M)";;69;False;https://www.wikidata.org/wiki/Q13099282;DraCor: https://dracor.org/
als000011;Q106556023;Clemens, Paul;0;A lätzi Visit;Elsässisch Luschtspiel in 1 Akt vun Paul Clemens;;https://www.numistral.fr/ark:/12148/bpt6k91095381;1920;Société d'édition Alsatia S.A.;;;;5;False;;1920;5;0;5;0;0;1;10;;11;0;5799;5492;797;274;12;clemens-a-latzi-visit;als000011;AlsDraCor;1920;;male;1876;1928;"Jean (M); J. Meyer (M); Schakob (M); Victor (M); Otto Mobil (M)";;44;False;https://www.wikidata.org/wiki/Q96464291;DraCor: https://dracor.org/
als000012;Q106559443;Clemens, Paul;0;„Charlot“;E ürgelungenes Stückel in 1 Akt im elsässischa Dialekt von Paul Clemens, Bischheim (Nur Herrenrollen);;https://www.numistral.fr/ark:/12148/bpt6k9109539f;1920;Société Alsacienne d'Edition (Alsatia) S. A.;;;;6;False;;1920;6;1;5;1;1;1;11;;17;0;7317;6953;1363;254;30;clemens-charlot;als000012;AlsDraCor;1920;;male;1876;1928;"Charlot (M); Knüppe (M); Lastique (M); Schmätterle (M); Urschel (F); E Kaminfäjer (M)";;44;False;https://www.wikidata.org/wiki/Q96464291;DraCor: https://dracor.org/
als000013;Q106554879;Clemens, Paul;0;Gift!;Schwank in einem Akt in elsässischer Mundart;;https://www.numistral.fr/ark:/12148/bpt6k9109546k;1919;Société alsacienne d'édition (Alsatia);;;;6;False;;1919;6;0;6;0;0;1;10;;15;0;6437;6171;838;203;0;clemens-gift;als000013;AlsDraCor;1919;;male;1876;1928;"Steinle (M); Daniel (M); Anselm (M); Robert (M); Barasoll (M); Ernest (M)";;43;False;https://www.wikidata.org/wiki/Q96464291;DraCor: https://dracor.org/
als000014;Q108197512;Greber, Jules;0;D'Jumpfer Prinzesse;Schauspiel in 3 Aufzügen in Straßburger Mundart von Julius Greber. Mit einer Deckenzeichnung von C. Spindler.;;https://www.numistral.fr/ark:/12148/bpt6k9109551w;1899;Schlesier & Schweikhardt;;;;12;False;;1899;12;7;5;0;0;1;60;;4;4;28596;27944;2561;1439;0;greber-d-jumpfer-prinzesse;als000014;AlsDraCor;1899;;male;1868;1914;"Jakob Schmelzer (M); Jeanne-Louise Schwindt (F); Célestine (F); Emelie Schmelzer (F); Albert Sänger (M); Jeanne (F); Fritz Steinfeld (M); Ein Dienstmann (M); Frau Sutter (F); Frau Thomas (F); Juliette (F); Herr Wurster (M)";;31;False;https://www.wikidata.org/wiki/Q91904226;DraCor: https://dracor.org/
als000015;Q107433122;Greber, Jules;0;Lucie;Dramatisches Sittenbild in einem Aufzuge in Straßburger Mundart;;https://www.numistral.fr/ark:/12148/bpt6k91095596;1896;Schlesier & Schweikhardt;;;;8;False;;1896;8;5;4;0;0;1;20;;14;0;10764;10054;1136;442;3;greber-lucie;als000015;AlsDraCor;1896;;male;1868;1914;"Marie Engel (F); Berthe (F); Joseph Engel (M); Lucie (F); Léon Bajolewski (M); Frau Stelzer (F); Abbé Mülberg (M); Eine Frau (F)";;28;False;https://www.wikidata.org/wiki/Q91904226;DraCor: https://dracor.org/
als000016;Q13099277;Horsch, Adolphe;0;D'Madam fahrt Velo;E modern's Lustspiel in 1 Akt;;https://www.numistral.fr/ark:/12148/bpt6k9109569k;1901;Elsassische Aktien-Gesellschaft für Buchhandel und Publicität, vormals A. Ammel;;;;8;False;;1901;8;4;4;0;0;1;22;;10;1;6874;6635;541;297;0;horsch-d-madam-fahrt-velo;als000016;AlsDraCor;1901;;male;1864;1937;"Alphonsel (M); Colette (F); Contre (M); Juliette (F); Blotzmeier (M); Mme. Trett (F); Ursule (F); Kütscher (M)";;37;False;https://www.wikidata.org/wiki/Q13099277;DraCor: https://dracor.org/
als000017;Q100753215;Jost, Camille;0;E Daa im Narrehüss;E Original-Farce in zwei kurze Akt vum Camille Jost;;https://www.numistral.fr/ark:/12148/bpt6k9109684m;1928;Druck und Verlag von F. X. Le Roux & Cie., S. A.;;;;13;False;;1928;13;2;10;1;0;3;30;;44;2;6120;5272;1335;278;0;jost-daa-im-narrehuss;als000017;AlsDraCor;1928;;male;1900;1950;"Brummer (M); E Passant (M); D’Stimm vum e Papegei (Unk); E’n Arweiter (M); E Gauner (M); 1. Wärter (M); Euphrosine Bendélé (F); Nervich Paul (M); 2. Wärter (M); Narr (M); 3. Wärter (M); Oktavie (F); E Blejele (M)";;28;False;https://www.wikidata.org/wiki/Q96489174;DraCor: https://dracor.org/
als000018;Q106606149;Jost, Camille;0;So e liederlicher Frack!;odder: E foljieschwäri Hüssuechung. E Schwank in 1 Uffzug;;https://www.numistral.fr/ark:/12148/bpt6k9109689p;1928;F. X. Le Roux & Cie, Strasbourg;;;;9;False;;1928;9;0;9;0;0;1;30;;19;1;7093;6806;937;266;0;jost-so-e-liederlicher-frack;als000018;AlsDraCor;1928;;male;1900;1950;"Georges Frosch (M); Michel (M); Robert (M); Burjer (M); Schnappne (M); E Gauner (M); Hebbne (M); 1. Arweiter (M); 2. Arweiter (M)";;28;False;https://www.wikidata.org/wiki/Q96489174;DraCor: https://dracor.org/
als000019;Q106559604;Kettner, Charles;0;Uff Dr Hochzittsreis;Luschtspiel in 1 Akt im els. Dialekt;;https://www.numistral.fr/ark:/12148/bpt6k91096443;1924;Theater- und Musik-Verlag, Rouffach, Iprimerie Keller-Immelé;;;;5;False;;1924;5;2;3;1;1;1;10;;17;0;4868;4537;789;243;9;kettner-uff-dr-hochzittsreis;als000019;AlsDraCor;1924;;male;1844;1899;"Dominik (M); Felix Kächele (M); Jülie (F); Alfons Lieblich (M); Emma (F)";;;True;https://www.wikidata.org/wiki/Q52084150;DraCor: https://dracor.org/
als000020;Q106558114;Kühne, Fernand;0;Bureaukrate!;Dialektkomödie in einem Akt;;https://www.numistral.fr/ark:/12148/bpt6k9109624b;1923;Société Alsacienne d'Edtion „Alsatia“ S. A.;;;;11;False;;1923;11;0;11;0;2;1;42;;15;1;5422;5039;986;211;0;kuehne-bureaukrate;als000020;AlsDraCor;1923;;male;;;"Frisch (M); Dindeschlecker (M); Frei (M); Hasepfeffer (M); Fröhlich (M); Alle (M); Linsenspalter (M); Löb Walfisch (M); Fred Windmacher (M); Die Andern (M); Ein Inspecteur de la Sureté (M)";;;;https://www.wikidata.org/wiki/Q96622965;DraCor: https://dracor.org/
als000021;Q106559053;Riff, Jean;0;Sainte Barbe;Comédie in Aam Uffzug vun Jean Riff;;https://www.numistral.fr/ark:/12148/bpt6k9109587h;1919;Imprimeur et Éditeur Imprimerie Gutemberg, J. Charles Schneider;;;;17;False;;1919;17;4;9;4;6;1;82;;16;1;6025;5369;1185;406;0;riff-sainte-barbe;als000021;AlsDraCor;1919;;male;1874;1924;"Lissel (F); Andrees Bottjuckel (M); Schorsch Peterhänsel (M); Daniel Wendling (M); Theres (F); Philipp Stawalter (M); Büüreburscht (M); Büüremaidle (F); Ein Bursche (M); Ein anderer Bursche (M); Ein Mädchen (F); Michel Ohlmershans (M); Velde Umecker (M); Bumbié (Unk); Alle (Unk); die Spielleute (Unk); Chorus (Unk)";;45;False;https://www.wikidata.org/wiki/Q96696621;DraCor: https://dracor.org/
als000022;Q106559140;Riff, Jean;0;s' Paradies;E luschdigs Schwänkele in aam Uffzug von Jean Riff;;https://www.numistral.fr/ark:/12148/bpt6k9109589b;1922;Verlag von E. Finck, Alsatica-Verlag, Strasbourg;;;;2;False;;1922;2;1;1;0;0;1;1;;5;0;3153;3056;404;184;0;riff-s-paradies;als000022;AlsDraCor;1922;;male;1874;1924;"Jacques (M); Marie (F)";;48;False;https://www.wikidata.org/wiki/Q96696621;DraCor: https://dracor.org/
als000023;Q107247835;Schneegans, Heinrich;0;Was d' Steckelburjer vun d'r „Université“ saaue;Humoristisches Intermezzo von Dr. Heinrich Schneegans Privatdocent, Aufgeführt zum Universitäts-Jubiläum am 2. Mai 1897;;https://www.numistral.fr/ark:/12148/bpt6k9109602r;1897;Schlesier & Schweikhardt;;;;6;False;;1897;6;1;4;1;1;1;13;;4;1;6706;6554;259;177;0;schneegans-steckelburjer-universite-saaue;als000023;AlsDraCor;1897;;male;1863;1914;"Sophie Mathis (F); Eugène Mathis (M); Ein Herr vom Comité (M); Otto Kühne (M); Dr. Schaufler (M); Mehrere Stimmen aus dem Publikum (Unk)";;34;False;https://www.wikidata.org/wiki/Q1598786;DraCor: https://dracor.org/
als000024;Q106588086;Stoskopf, Gustave;0;D'r Herr Maire;Lustspiel in drei Aufzügen von G. Stoskopf. 18. Auflage;;https://www.numistral.fr/ark:/12148/bpt6k9109728b;1898;L. Jaggi-Reiss, Gundershoffen;;;;39;False;;1935;39;6;26;9;5;1;258;1898;56;4;20216;19478;3198;907;0;stoskopf-dr-herr-maire;als000024;AlsDraCor;1898;;male;1869;1944;"Marie (F); Grethl (F); D'r Herr Maire (M); Briefbote (M); Fränz (F); Dr. Freundlich (M); Seppel (M); Jerry (M); Alle (Unk); Morte Velte (M); Lehrer (M); Dirrebirels Dicker (M); Die Sänger (Unk); Ein Anderer (M); Ein Anderer (M); Ein Anderer (M); Ein Bauernbursche (M); Meykäthel (F); Besitzer eines Messtistandes (M); Aelterer Bauer (M); Anderer Bauer (M); Gäste an einem anderen Tisch (Unk); Ein Anderer (M); Ein Lump (M); Doni (M); Die Bauern (Unk); Schiere Hans (M); Giltbür (M); Nejbierel (M); Ein Mädchen (F); Eine Stimme (Unk); Ein Velocipedist (M); Velocipedistin (F); Eine Stimme (Unk); Eine Andere (Unk); Pfeffer (M); Dorfpolizist (M); Die Bauern, Burschen und Mädchen (Unk); Müller (M)";;29;False;https://www.wikidata.org/wiki/Q923554;DraCor: https://dracor.org/
als000025;Q106559230;Weber, Emile;0;Yo-Yo!;E Geduldspiel in einem Akt;;https://www.numistral.fr/ark:/12148/bpt6k91096940;1932;Imprimerie de la Bourse, Strasbourg;;;;5;False;;1932;5;3;2;0;0;1;10;;16;0;4328;4073;580;306;0;weber-yo-yo;als000025;AlsDraCor;1932;;male;;;"Jules Kleitz (M); Marie (F); Dokter Robert Schmitt (M); Germaine (F); Henriette Fleischmann (F)";;;;https://www.wikidata.org/wiki/Q97103623;DraCor: https://dracor.org/
als000026;Q106605591;Fuchs, Ernst;0;Heimlichi Lieb;Elsässisch's Volksstüeck in 7 Bilder;;https://www.numistral.fr/ark:/12148/bpt6k9109729r;1914;Gundershoffen, Édition de théatre et de musique L. Jaggi-Reiss;;;;28;False;;1914;28;9;22;0;0;1;169;;26;7;17832;15650;4690;534;4;fuchs-heimlichi-lieb;als000026;AlsDraCor;1914;;male;;;"Mejel (F); Katt (M); Basche (M); 's Stawalders Jean (M); Fritzel (M); D'r Bangelschlacker (M); 's Drumbohn (M); D'r Fisselblöje (M); D'r Bassgej (M); 's Lipse Vadder (M); 's Stawalders Vadder (M); 'Grosbüre Lanz (M); Mej (M); Xavier (M); De Growechrischtel (F); D'r Unkel Franz (M); D' Schiltze von Bahle (F); De Schultz (M); 's Lipse Gredel (F); Lissel (F); Rosel (F); Lenel (F); Evel (F); E Büe (M); Hochzittslaader (M); 's Lipse Mieder (M); De Herr Notari (M); Euphrosine (M)";;;;https://www.wikidata.org/wiki/Q96464816;DraCor: https://dracor.org/
als000027;Q113506763;Hahn, Emilie;0;Jungi Madamme;Lustspiel in einem Aufzug in Strassburger Mundart;Comedy;https://www.numistral.fr/ark:/12148/bpt6k9109609n;1922;Librairie Ernest Finck, Strasbourg;;;;8;False;;1922;8;5;3;0;0;1;25;;16;0;7800;7649;739;441;0;hahn-jungi-madamme;als000027;AlsDraCor;1922;;female;;;"Amalie Schneider (F); Sälmel (F); Fanny Müschler (F); Josefine Martel (F); Fernand Schneider (M); Alfons Müschler (M); Mayer (M); Frau Liemann (F)";;;;https://www.wikidata.org/wiki/Q96475210;DraCor: https://dracor.org/
als000028;Q107261261;Kleisecker, H.;0;D'r Schnider von Gambse;Lustspiel von H. Kleisecker;Comedy;https://www.numistral.fr/ark:/12148/bpt6k91097431;1920;Herausgebeben von Jul. Schies Gesellenpräses. Selbstverlag des Herausgebers, Straßburg;;;;9;False;;1920;9;1;7;1;1;1;18;;16;0;7687;6738;490;225;0;kleisecker-dr-schnider-von-gambse;als000028;AlsDraCor;1920;;unknown;;;"Georg Lügenbühler (M); Therese (F); Mathias Zwicker (M); Toni Brüllberger (M); Nipper (M); Mahlberg (M); Mehrere Stimmen (Unk); Jean Lügenbühler (M); Martin Tannspahn (M)";;;;https://www.wikidata.org/wiki/Q96497696;DraCor: https://dracor.org/
als000029;Q106559034;Weber, Emile;0;E bissel Lieb;Drama im e Vorspiel un 3 Akt von Emile Weber, 5 Herren — 3 Damen;;https://www.numistral.fr/ark:/12148/bpt6k9109731t;1936;Édition de théatre et de musique L. Jaggi-Reiss, Gundershoffen (Bas-Rhin);;;;8;False;;1936;8;3;5;0;0;1;18;;24;4;14426;13149;2883;687;0;weber-e-bissel-lieb;als000029;AlsDraCor;1936;;male;;;"Siner Babe (M); Sini Mame (F); Jean Pfister (M); D'r Babe Fischer (M); Alice Sandel (F); Lilly Weiler (F); Paul Weiler (M); E Inspecteur vun de Polizej (M)";;;;https://www.wikidata.org/wiki/Q97103623;DraCor: https://dracor.org/
als000030;Q113505779;Weigel, Madeleine;0;In dr Awril g'schickt;Lustspiel in zwei Akten von M. Weigel;Comedy;https://www.numistral.fr/ark:/12148/bpt6k9109668h;1930;Salvator-Verlag Múlhausen;;;;10;False;;1930;10;10;0;0;0;1;30;;19;2;6598;6067;745;200;0;weigel-in-dr-awril-gschickt;als000030;AlsDraCor;1930;;female;;;"Suzanne (F); Irène (F); Jeanne (F); Juliette (F); Lucie (F); Marthe (F); Mlle Florentine Blind (F); Mlle Amélie (F); Elise (F); Sophie (F)";;;;https://www.wikidata.org/wiki/Q97120060;DraCor: https://dracor.org/
am000030;;Markoe, Peter;0;The Patriot Chief;;Tragedy;https://ota.bodleian.ox.ac.uk/repository/xmlui/bitstream/handle/20.500.12024/N14636/N14636.html;1784;;;;;13;False;;1784;13;3;10;0;1;1;42;;37;5;13636;13416;164;0;1779;markoe-the-patriot-chief;am000030;AmDraCor;1784;;male;1752;1792;"Otanes (M); Adrastus (M); Dorus (M); Arbaces (M); Eudocia (F); Ismene (F); Olinthus (M); Araspes (M); Cleanthe (F); Slave (M); Priest (M); Soldiers (M); Officer (M)";;32;False;https://www.wikidata.org/wiki/Q62091338;DraCor: https://dracor.org/
am000044;;MacKaye, Percy;0;Jeanne d'Arc;;History;https://archive.org/details/jeannedarc0000mack;1906;;;;;83;False;;1906;83;16;51;15;10;1;1065;;6;5;24023;18916;6337;9;2437;mackaye-jeanne-darc;am000044;AmDraCor;1906;;male;1875;1956;"ISABELLETTE (F); GERARDIN (M); HAUVIETTE (F); GERARD (M); PERRIN (M); MENGETTE (F); PIERRE D'ARC (M); TWO GIRLS (F); COLIN (M); THE OLD WOMEN (F); DE BOURLEMENT (M); JEANNE (F); THE YOUNG FOLK (Unk); VOICES (Unk); A VOICE (Unk); THE VOICE (Unk); JACQUES D'ARC (M); JACQUES (M); PIERRE (M); SEVERAL OTHERS (Unk); THE OTHERS (Unk); THE TWILIGHT VOICES (Unk); THE LADIES OF LORRAINE (F); ST MICHAEL (M); THE FIRST VOICE (Unk); THE SECOND VOICE (Unk); THE LADIES (F); LA TREMOUILLE (M); THE TAILOR (M); CHARLES (M); CATHERINE (F); DIANE (F); ATHENIE (F); DE CHARTRES (M); BOULIGNY (M); D'ALENÇON (M); THE COURT LADIES (F); VENDÔME (M); BOOTMAKER (M); LA HIRE (M); DE METZ (M); DE POULANGY (M); SEGUIN (M); THE EMPEROR IN THE STAINED GLASS (M); THE EMPEROR (M); PASQUEREL (M); DUNOIS (M); A PRIEST (M); SEVERAL VOICES (Unk); PIGACHON (M); THE ENGLISH HERALD (M); SOLDIERS (M); HERALD (M); FRIARS (M); LOUIS (M); THE FIRST MAN (M); THE OTHER (Unk); GRIS (M); GOODSPEED (M); DISTANT CRIES (Unk); CRIES (Unk); CAUCHON (M); FLAVY (M); A WOMAN (F); THE WOMAN (F); ANOTHER WOMAN (F); A COURTIER (M); A KNIGHT (M); THE KNIGHT (M); AN ARTISAN (M); BROTHER RICHARD (M); A CITIZEN (M); LOISELEUR (M); THE PEOPLE (Unk); BROTHER MARTIN (M); THE CAPTAIN (M); FIRST GUARD (M); SECOND GUARD (M); THIRD GUARD (M); THE GUARDS (M); THE VOICE OF THE CLERK (Unk); THE FEMALE SAINTS (F)";;31;False;https://www.wikidata.org/wiki/Q1650288;DraCor: https://dracor.org/
am000062;;Longfellow, Henry Wadsworth;0;The Golden Legend;;Verse;https://www.gutenberg.org/ebooks/10490;1854;;;;;72;False;;1854;72;10;46;16;10;10;183;;41;8;28882;27876;1214;0;4119;longfellow-the-golden-legend;am000062;AmDraCor;1854;;male;1807;1882;"Lucifer (M); Voices (Unk); Bells (Unk); Choir (Unk); Prince Henry (M); Angel (Unk); Hubert (M); Walter (M); Elsie (F); Ursula (F); Gottlieb (M); Max (M); Bertha (F); Parish priest (M); Crier of the Dead (M); Friar Cuthbert (M); Chaunt (Unk); Præco (M); Mercy (F); Justice (Unk); God (M); Four Virtues (Unk); Wisdom (Unk); Mary (F); Gabriel (M); Angels (Unk); Raphael (M); Anael (Unk); Zobiachel (Unk); Michael (M); Uriel (M); Orifel (M); Gaspar (M); Melchior (M); Belshazzar (M); Jesus (M); Virgin (F); Joseph (M); Dumachus (M); Titus (M); Herod (M); Rachel (F); Rahab (F); Soldiers (M); Nurse Medusa (F); Judas (M); Rabbi Ben Israel (M); Boys (M); Traveller (Unk); Bearers (Unk); Actor (M); Friar Claus (M); Friar Pacificus (M); Abbot (M); Blind Monk (M); Friar Paul (M); Friar John (M); Monks (M); Friar Siebald (M); Friar Francis (M); Irmingard (F); Guide (M); Pilgrims (Unk); Il Padrone (M); Scholastic (M); Doctor Serafino (M); Doctor Cherubino (M); First Scholar (M); Second Scholar (M); Forester (M); Angel of good deeds (Unk); Angel of evil deeds (Unk)";;47;False;https://www.wikidata.org/wiki/Q152513;DraCor: https://dracor.org/
