Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
rus000202;Q4315424;Островский, Александр;0;Не от мира сего;Семейные сцены в 3 действиях;;http://az.lib.ru/o/ostrowskij_a_n/text_0222.shtml;1885;;;;;9;false;1885;1885;9;4;5;0;0;1;24;1884;27;3;12025;11535;722;625;0;ostrovsky-ne-ot-mira-sego;rus000202;RusDraCor;1885;Ostrovsky, Alexander;male;1823;1886;"Елохов (M); Мардарий (M); Кочуев (M); Муругов (M); Барбарисов (M); Хиония (F); Ксения (F); Снафидина (F); Капитолина (F)";;62;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-ne-ot-mira-sego.xml
rus000201;Q4467917;Островский, Александр;0;Тяжелые дни;Сцены из московской жизни, в трех действиях;;http://az.lib.ru/o/ostrowskij_a_n/text_0080.shtml;1863;;;;;11;false;1863;1863;11;4;7;0;0;1;27;1863;20;3;9830;9423;426;625;0;ostrovsky-tyazhelye-dni;rus000201;RusDraCor;1863;Ostrovsky, Alexander;male;1823;1886;"Молодой человек (M); Досужев (M); Перцов (M); Андрей Титыч (M); Александра Петровна (F); Луша (F); Наталья Никаноровна (F); Настасья Панкратьевна (F); Мудров (M); Тит Титыч (M); Неизвестный (M)";;40;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-tyazhelye-dni.xml
rus000200;Q74070368;Мамин-Сибиряк, Дмитрий;0;Золотопромышленники;Бытовая хроника в четырех действиях;;http://az.lib.ru/m/maminsibirjak_d/text_1886_zolotopromyshlenniki.shtml;1887;;;;;11;false;1887;1887;11;5;6;0;0;1;41;1886;55;4;19109;18216;1919;841;9;mamin-sibirjak-zolotopromyshlenniki;rus000200;RusDraCor;1887;Mamin-Sibiryak, Dmitry;male;1852;1912;"Белоносов (M); Ширинкин (M); Анисья Тихоновна (F); Воротов (M); Молоков (M); Марфа Лукинишна (F); Засыпкин (M); Мосевна (F); Лена (F); Даша (F); Чепраков (M)";;35;false;https://www.wikidata.org/wiki/Q2207346;DraCor: https://dracor.org/;texts/mamin-sibirjak-zolotopromyshlenniki.xml
rus000199;Q72847519;Мамин-Сибиряк, Дмитрий;0;Маленькая правда;Драма в 4-рех действиях.;;http://az.lib.ru/m/maminsibirjak_d/text_1891_malenkaya_pravda.shtml;1891;;;;;13;false;;;13;6;7;0;0;1;73;1891;56;4;16049;15075;1950;856;6;mamin-sibirjak-malenkaja-pravda;rus000199;RusDraCor;1891;Mamin-Sibiryak, Dmitry;male;1852;1912;"Таня (F); Евгения Павловна (F); Шаров (M); Чумаков (M); Аметистов (M); Алексей (M); Веленьев (M); Осипова (F); Людмила (F); Андрей (M); Лакей (M); Веленьева (F); Вавочка (F)";;39;false;https://www.wikidata.org/wiki/Q2207346;DraCor: https://dracor.org/;texts/mamin-sibirjak-malenkaja-pravda.xml
rus000198;Q4148682;Островский, Александр;0;Грех да беда на кого не живет;Драма в четырех действиях;;http://az.lib.ru/o/ostrowskij_a_n/text_0070.shtml;1863;;;;;11;false;1863;1863;11;4;7;0;0;1;33;1862;36;4;16337;15719;834;850;6;ostrovsky-greh-da-beda-na-kogo-ne-zhivet;rus000198;RusDraCor;1863;Ostrovsky, Alexander;male;1823;1886;"Зайчиха (F); Карп (M); Бабаев (M); Шишгалев (M); Жмигулина (F); Афоня (M); Архип (M); Краснова (F); Краснов (M); Курицына (F); Курицын (M)";;40;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-greh-da-beda-na-kogo-ne-zhivet.xml
rus000197;Q4315458;Островский, Александр;0;Не так живи, как хочется;Народная драма в трех действиях;;http://az.lib.ru/o/ostrowskij_a_n/text_0042.shtml;1854;;;;;15;false;1854;1855;15;8;7;0;2;1;44;1854;32;3;9248;8867;624;506;51;ostrovsky-ne-tak-zhivi-kak-hochetsya;rus000197;RusDraCor;1854;Ostrovsky, Alexander;male;1823;1886;"Афимья (F); Даша (F); Илья (M); Петр (M); Иван (M); Вася (M); Спиридоновна (F); Яков (M); Груша (F); Степанида (F); Агафон (M); Некоторые девушки (F); Одна девушка (F); Еремка (M); Девушки (F)";;31;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-ne-tak-zhivi-kak-hochetsya.xml
rus000196;Q12756876;Островский, Александр;0;Не сошлись характерами!;Картины московской жизни;;http://az.lib.ru/o/ostrowskij_a_n/text_0054.shtml;1858;;;;;13;false;1858;1858;13;6;7;0;0;1;23;1856/1857;13;0;7117;6538;697;388;12;ostrovsky-ne-soshlis-harakterami;rus000196;RusDraCor;1858;Ostrovsky, Alexander;male;1823;1886;"Прежнева (F); Лакей (M); Поль (M); Прежнев (M); Перешивкина (F); 1-й кучер (M); Матрена (F); Улита Никитишна (F); Карп Карпыч (M); 2-й кучер (M); Серафима Карповна (F); Неизвестный (M); Горничная (F)";;35;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-ne-soshlis-harakterami.xml
rus000195;Q4315374;Островский, Александр;0;Не в свои сани не садись;Комедия в трех действиях;Comedy;http://az.lib.ru/o/ostrowskij_a_n/text_0034.shtml;1853;;;;;10;false;1853;1853;10;3;7;0;0;1;27;1852;38;3;12030;11385;1038;660;28;ostrovsky-ne-v-svoi-sani-ne-sadis;rus000195;RusDraCor;1853;Ostrovsky, Alexander;male;1823;1886;"Степан (M); Половой (M); Бородкин (M); Маломальский (M); Русаков (M); Анна Антоновна (F); Вихорев (M); Баранчевский (M); Авдотья Максимовна (F); Арина Федотовна (F)";;30;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-ne-v-svoi-sani-ne-sadis.xml
rus000194;Q19172474;Андреев, Леонид;0;К звёздам;;;http://az.lib.ru/a/andreew_l_n/text_1010.shtml;1906;;;;;13;false;1906;;13;4;9;0;0;1;74;1905;4;4;14495;13417;1328;953;44;andreyev-k-zvezdam;rus000194;RusDraCor;1906;Andreyev, Leonid;male;1871;1919;"Инна Александровна (F); Петя (M); Житов (M); Лунц (M); Минна (F); Поллак (M); Анна (F); Трейч (M); Верховцев (M); Франц (M); Сергей Николаевич (M); Маруся (F); Шмидт (M)";;35;false;https://www.wikidata.org/wiki/Q310866;DraCor: https://dracor.org/;texts/andreyev-k-zvezdam.xml
rus000193;Q4057254;Булгаков, Михаил;0;Адам и Ева;Пьеса в четырех актах;;http://www.lib.ru/BULGAKOW/adam.txt;1931;;;;;13;false;;1971;13;4;9;0;0;1;66;1931;4;4;14682;13447;2055;897;0;bulgakov-adam-i-eva;rus000193;RusDraCor;1931;Bulgakov, Mikhail;male;1891;1940;"Адам (M); Ева (F); Аня (F); Ефросимов (M); Маркизов (M); Пончик (M); Дараган (M); Туллер 1-й (M); Туллер 2-й (M); Клавдия (F); Вируэс (F); Зевальд (M); Павлов (M)";;40;false;https://www.wikidata.org/wiki/Q835;DraCor: https://dracor.org/;texts/bulgakov-adam-i-eva.xml
