Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
u0000022;Q2596987;Квітка-Основ'яненко, Григорій;0;Сватання на Гончарівці;Малороссийская опера в трех действиях;;https://www.ukrlib.com.ua/books/printitzip.php?tid=1020;1836;;;;;14;false;;;14;0;0;0;1;1;70;1836;16;3;16860;16579;1376;523;563;kvitka-osnovjanenko-svatannja-na-goncharivci;u0000022;UDraCor;1836;;male;1778;1843;"Прокiп (Unk); Одарка (Unk); Кандзюба (Unk); Уляна (Unk); Стецько (Unk); Олексiй (Unk); Скорик (Unk); Тимiш (Unk); Хор девок (Unk); 1-я девка (Unk); 2-я девка (Unk); 3-я девка (Unk);";;58;false;https://www.wikidata.org/wiki/Q2596987;DraCor: https://dracor.org/;texts/kvitka-osnovjanenko-svatannja-na-goncharivci.xml
u0000021;Q134958;Шевченко, Тарас;0;Назар Стодоля;;;https://www.ukrlib.com.ua/books/printitzip.php?tid=762;1843;;;;;15;false;;;15;0;0;0;3;1;73;1843;3;3;10122;9936;1135;476;60;shevchenko-nazar-stodolja;u0000021;UDraCor;1843;;male;1814;1861;"Стеха (Unk); Галя (Unk); Хома (Unk); Свати (Unk); Сват (Unk); Назар (Unk); Гнат (Unk); Хозяйка (Unk); Голоса (Unk); Кобзарь (Unk); В толпе (Unk); Другой (Unk); Голос (Unk); Третий (Unk)";;29;false;https://www.wikidata.org/wiki/Q134958;DraCor: https://dracor.org/;texts/shevchenko-nazar-stodolja.xml
u0000020;Q455246;Котляревський, Іван;0;Москаль-чарівник;;;https://www.ukrlib.com.ua/books/printitzip.php?tid=1053;1819;;;;;4;false;;;4;0;0;0;0;1;6;1819;11;0;6877;6622;605;335;177;kotljarevskij-moskal-charivnik;u0000020;UDraCor;1819;;male;1769;1838;"Тетяна (Unk); Финтик (Unk); Солдат (Unk); Михайло (Unk)";;50;false;https://www.wikidata.org/wiki/Q455246;DraCor: https://dracor.org/;texts/kotljarevskij-moskal-charivnik.xml
u000002;Q298033;Українка, Леся;0;Йоганна, жінка Хусова;;;https://www.l-ukrainka.name/uk/Dramas/Johanna.html;1909;;;;;11;false;;;11;4;7;0;0;1;21;1909;8;8;5893;5076;1230;0;833;lesya-ukrainka-johanna;u000002;UDraCor;1909;;female;1871;1913;"Хуса (M); Управитель (M); Кравчий (M); Виночерпець (M); Мелхола (F); Сабіна (F); Раб (M); Йоганна (F); Публій (M); Скороход Габал (M); Марція (F)";;38;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-johanna.xml
u0000018;Q298033;Українка, Леся;0;У полоні;Драматична поема;;https://www.l-ukrainka.name/uk/Dramas/UPoloni.html;1903;;;;;33;false;;;33;8;22;3;4;1;528;1903;1;1;3001;2666;418;0;434;lesya-ukrainka-upoloni;u0000018;UDraCor;1903;;female;1871;1913;"Жінка (F); Чоловік (M); Старий чоловік (M); Жінка середнього віку (F); Один дід (M); Другий дід (M); Третій дід (M); Діти (Unk); Божевільна (F); Дівчина (F); Товаришка (F); Гурт левітів (M); Гурт пророків (Unk); Один левіт (M); Другий левіт (M); Самарійський пророк (M); Іудейський пророк (M); Елеазар (M); Молодий хлопець (M); Дід (M); Дитинка (M); Мати дитини (F); Стара жінка (F); Малий хлопчик (M); Батько (M); Голоси жіночі з народу (F); Голоси з народу (Unk); Голос покликача з табору (M)";;32;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-upoloni.xml
u0000017;Q298033;Українка, Леся;0;Прощання;;;https://www.l-ukrainka.name/uk/Dramas/Proscannja.html;1896;;;;;2;false;;;2;1;1;0;0;1;1;1896;1;1;1845;1732;147;0;152;lesya-ukrainka-proscannja;u0000017;UDraCor;1896;;female;1871;1913;"Хлопець (M); Дівчина (F)";;25;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-proscannja.xml
u0000016;Q2366031;Кропивницький, Марко;0;Дай серцю волю, заведе у неволю;Драма в 5-ти діях і 6-ти одмінах.;;https://www.ukrlib.com.ua/books/printitzip.php?tid=2684;1863;;;;;31;false;;;31;0;0;0;0;1;216;1863;30;5;14579;14011;1245;609;126;kropivnitskij-daj-sertsju-volju-zavede-u-nevolju;u0000016;UDraCor;1863;;male;1840;1910;"Семен (Unk); Одарка (Unk); Микита (Unk); Іван (Unk); Омелько (Unk); 1-й парубок (Unk); 2-й парубок (Unk); 3-й парубок (Unk); 4-й парубок (Unk); 5-й парубок (Unk); 6-й парубок (Unk); 7-й парубок (Unk); Голоси (Unk); Деякі парубки (Unk); Маруся (Unk); Морозиха (Unk); Жіночий голос (Unk); Христя (Unk); Дівчата (Unk); Деякі (Unk); Кугут (Unk); Скубко (Unk); Зачепиха (Unk); Голос за вікном (Unk); Провідник (Unk); Один із селян (Unk); Селяни (Unk)";;23;false;https://www.wikidata.org/wiki/Q2366031;DraCor: https://dracor.org/;texts/kropivnitskij-daj-sertsju-volju-zavede-u-nevolju.xml
u0000015;Q298033;Українка, Леся;0;Іфігенія в Тавріді;(драматична сцена);;https://www.l-ukrainka.name/uk/Verses/DumyIMrii/KrymskiVidguky/IphigeniaVTavrydi.html;1898;;;;;4;false;;;4;4;0;0;1;1;6;1898;1;1;1095;847;333;0;153;lesya-ukrainka-iphigenia-vtavrydi;u0000015;UDraCor;1898;;female;1871;1913;"Строфа (F); Антистрофа (F); Іфігенія (F); Хор дівчат (F)";;27;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-iphigenia-vtavrydi.xml
u0000014;Q298033;Українка, Леся;0;В дому роботи, в країні неволі;;;https://www.l-ukrainka.name/uk/Dramas/VDomuRoboty.html;1906;;;;;3;false;;;3;0;0;0;0;1;3;1906;1;1;1297;1059;466;0;136;lesya-ukrainka-vdomu-roboty;u0000014;UDraCor;1906;;female;1871;1913;"Старший дозорець (Unk); Раб-гебрей (Unk); Єгиптянин (Unk)";;35;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-vdomu-roboty.xml
u0000013;Q298033;Українка, Леся;0;Блакитна троянда;;;https://www.l-ukrainka.name/uk/Dramas/LtBlueRose.html;1896;;;;;17;false;;;17;9;7;0;0;1;51;1896;58;5;18070;15295;3585;845;0;lesya-ukrainka-lt-blue-rose;u0000013;UDraCor;1896;;female;1871;1913;"Олімпіада Іванівна (F); Груїчева (F); Любов (F); Орест (M); Милевський (M); Острожин (M); Саня (F); Крицький (M); Хлопчик (M); Дівчинка (F); Лікар (M); 2-га панночка (F); 1-ша панночка (F); Мати (F); Психіатр (M); Надежда Петрівна (F)";;25;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-lt-blue-rose.xml
u0000012;Q298033;Українка, Леся;0;У пущі;;;https://www.l-ukrainka.name/uk/Dramas/UPusci.html;1909;;;;;26;false;;;26;4;20;2;1;1;178;1909;3;3;17437;15316;2920;0;2562;lesya-ukrainka-upusci;u0000012;UDraCor;1909;;female;1871;1913;"Річард (M); Деві (M); Крістабель (M); Едіта (F); Дженні Кембль (F); Годвінсон (M); Кембль (M); Жінка (F); Джонатан (M); Голос (Unk); Калеб Педдінтон (M); Абрагам Сміт (M); Джірімая Ортвін (M); Метью Фільдінг (M); Джон Мільс (M); Громада (Unk); Ученик (M); Чарлі (M); Бруклі (F); Джонс (M); О’Патрік (M); Мак Гарді (M); Магістер (M); Органіст (M); Антоніо (M); Чоловік (M)";;38;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-upusci.xml
u0000011;Q298033;Українка, Леся;0;Одержима;Драматична поема;;https://www.l-ukrainka.name/uk/Dramas/Oderzhyma.html;1901;;;;;8;false;;;8;2;4;2;2;1;22;1901;4;4;3195;2918;400;0;492;lesya-ukrainka-oderzhyma;u0000011;UDraCor;1901;;female;1871;1913;"Міріам (F); Месія (M); Йоганна (F); Старий (M); Слуга (M); Преторіанець (M); Голоси з юрби (Unk); Голоси в юрбі (Unk)";;30;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-oderzhyma.xml
u0000010;Q298033;Українка, Леся;0;Три хвилини;;;https://www.l-ukrainka.name/uk/Dramas/3Xvylyny.html;1905;;;;;5;false;;;5;2;3;0;0;1;6;1905;3;0;3928;3688;345;0;629;lesya-ukrainka-tri-xvylyny;u0000010;UDraCor;1905;;female;1871;1913;"Монтаньяр (M); Жірондист (M); Жірондистка (F); Жінка (F); Конрад (M)";;34;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-tri-xvylyny.xml
u000001;Q298033;Українка, Леся;0;Адвокат Мартіан;;;https://www.l-ukrainka.name/uk/Dramas/AdvokatMartian.html;1911;;;;;15;false;;;15;3;6;5;1;1;75;1911;2;2;8955;7482;2139;0;1263;lesya-ukrainka-advokat-martian;u000001;UDraCor;1911;;female;1871;1913;"Мартіан (M); Констанцій (M); Аврелія (F); Валент (M); Ізоген (M); Альбіна (F); Люцілла (F); Голос за брамою (Unk); Ардент (M); Скілька голосів (Unk); Один грубий голос (Unk); Голос (Unk); Центуріон (M); Дехто з сторожі (Unk); Один вігіл (Unk)";;40;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-advokat-martian.xml
