Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of Words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
fre001834;;Bary, René;0;De la Cérémonie;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_CEREMONIE.xml;1662;;;1662;;4;FALSE;;1662;4;0;4;0;0;1;6;;1;0;986;358;20;17;0;bary-de-la-ceremonie;fre001834;FreDraCor;1662;;male;;1680;"Le Capitaine(M); Le Docteur(M); Le Financier(M); L'Avocat(M)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-de-la-ceremonie.xml
fre001835;;Bary, René;0;De la Colère;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_COLERE.xml;1662;;;1662;;2;FALSE;;1662;2;1;0;1;0;1;1;;1;0;1278;645;31;14;0;bary-de-la-colere;fre001835;FreDraCor;1662;;male;;1680;"Berine(F); Tibraque(Unk)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-de-la-colere.xml
fre001836;;Bary, René;0;Du Cours;Conversation Galante;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_COURS.xml;1664;;;1664;;2;FALSE;;1664;2;1;1;0;0;1;1;;1;0;453;376;24;23;0;bary-du-cours;fre001836;FreDraCor;1664;;male;;1680;"Ibere(M); Tulie(F)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-du-cours.xml
fre001837;;Bary, René;0;De la Danse;Conversation Galante;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_DANSE.xml;1664;;;1664;;2;FALSE;;1664;2;1;1;0;0;1;1;;1;0;290;225;10;12;0;bary-de-la-danse;fre001837;FreDraCor;1664;;male;;1680;"Arcandre(M); Amadonte(F)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-de-la-danse.xml
fre001838;;Bary, René;0;De la Dissimulation;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_DISSIMULATION.xml;1662;;;1662;;3;FALSE;;1662;3;2;1;0;0;1;3;;1;0;1166;550;13;15;0;bary-de-la-dissimulation;fre001838;FreDraCor;1662;;male;;1680;"Belise(F); Terovane(M); Arimene(F)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-de-la-dissimulation.xml
fre001839;;Bary, René;0;De l'Entrevue Amoureuse;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_ENTREVUEAMOUREUSE.xml;1662;;;1662;;2;FALSE;;1662;2;1;1;0;0;1;1;;1;0;1170;535;29;15;0;bary-de-l-entrevue-amoureuse;fre001839;FreDraCor;1662;;male;;1680;"Le Prince(M); La Princesse(F)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-de-l-entrevue-amoureuse.xml
fre001840;;Bary, René;0;De l'Entrevue Politique;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_ENTREVUEPOLITIQUE.xml;1662;;;1662;;2;FALSE;;1662;2;0;2;0;0;1;1;;1;0;1640;1016;14;17;0;bary-de-l-entrevue-politique;fre001840;FreDraCor;1662;;male;;1680;"Le Ministre de France(M); Le Ministre d'Espagne(M)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-de-l-entrevue-politique.xml
fre001841;;Bary, René;0;De l'Exil;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_EXIL.xml;1662;;;1662;;2;FALSE;;1662;2;0;2;0;0;1;1;;1;0;1844;1220;22;28;0;bary-de-l-exil;fre001841;FreDraCor;1662;;male;;1680;"Teracene(M); Stéphane(M)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-de-l-exil.xml
fre001842;;Bary, René;0;De la Feintise;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_FEINTISE.xml;1662;;;1662;;4;FALSE;;1662;4;1;3;0;0;1;6;;1;0;1341;706;31;27;0;bary-de-la-feintise;fre001842;FreDraCor;1662;;male;;1680;"Césarion(M); Marcelin(M); Cerinde(F); Felonte(M)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-de-la-feintise.xml
fre001843;;Bary, René;0;Des Fleurs;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_FLEURS.xml;1662;;;1662;;2;FALSE;;1662;2;1;1;0;0;1;1;;1;0;919;311;8;7;0;bary-des-fleurs;fre001843;FreDraCor;1662;;male;;1680;"Tyrene(M); Angélique(F)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-des-fleurs.xml
fre001844;;Bary, René;0;De l'Inclination Bizarre;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_INCLINATION.xml;1662;;;1662;;2;FALSE;;1662;2;2;0;0;0;1;1;;1;0;1286;669;13;29;0;bary-de-l-inclination-bizarre;fre001844;FreDraCor;1662;;male;;1680;"Almane(F); Beligonne(F)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-de-l-inclination-bizarre.xml
fre001845;;Bary, René;0;De l'Indulgenece;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_INDULGENCE.xml;1662;;;1662;;2;FALSE;;1662;2;1;1;0;0;1;1;;1;0;1015;403;10;9;0;bary-de-l-indulgence;fre001845;FreDraCor;1662;;male;;1680;"Emilian(M); Isabelle(F)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-de-l-indulgence.xml
fre001846;;Bary, René;0;Du Mauvais Choix;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_MAUVAISCHOIX.xml;1662;;;1662;;2;FALSE;;1662;2;0;2;0;0;1;1;;1;0;1060;435;23;16;0;bary-du-mauvais-choix;fre001846;FreDraCor;1662;;male;;1680;"Adallas(M); Actibe(M)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-du-mauvais-choix.xml
fre001847;;Bary, René;0;De la Mémoire;Conversation Galante;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_MEMOIRE.xml;1664;;;1664;;2;FALSE;;1664;2;1;1;0;0;1;1;;1;0;509;444;10;17;0;bary-de-la-memoire;fre001847;FreDraCor;1664;;male;;1680;"Arsace(M); Satira(F)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-de-la-memoire.xml
fre001848;;Bary, René;0;Du Procès;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_PROCES.xml;1662;;;1662;;2;FALSE;;1662;2;2;0;0;0;1;1;;1;0;965;348;17;9;0;bary-du-proces;fre001848;FreDraCor;1662;;male;;1680;"Sulpicie(F); Ericie(F)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-du-proces.xml
fre001849;;Bary, René;0;De la Raillerie;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_RAILLERIE.xml;1662;;;1662;;2;FALSE;;1662;2;1;1;0;0;1;1;;1;0;935;315;18;16;0;bary-de-la-raillerie;fre001849;FreDraCor;1662;;male;;1680;"Tyfon(M); Carie(F)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-de-la-raillerie.xml
fre001850;;Bary, René;0;Du Retour des Esprits;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_RETOURDESESPRITS.xml;1662;;;1662;;3;FALSE;;1662;3;1;2;0;0;1;3;;1;0;3189;2538;46;56;0;bary-du-retour-des-esprits;fre001850;FreDraCor;1662;;male;;1680;"Clelie(F); Polymaque(M); Pericide(M)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-du-retour-des-esprits.xml
fre001851;;Bary, René;0;Du Roman;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_ROMAN.xml;1662;;;1662;;3;FALSE;;1662;3;1;2;0;0;1;3;;1;0;1113;496;16;15;0;bary-du-roman;fre001851;FreDraCor;1662;;male;;1680;"Mendose(M); Berone(M); Hermine(F)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-du-roman.xml
fre001852;;Bary, René;0;De la Simplicité des Habits;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_SIMPLICITE.xml;1662;;;1662;;2;FALSE;;1662;2;1;1;0;0;1;1;;1;0;1197;577;14;15;0;bary-de-la-simplicite-des-habits;fre001852;FreDraCor;1662;;male;;1680;"Cypassis(F); Coriolan(M)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-de-la-simplicite-des-habits.xml
fre001853;;Bary, René;0;Des Tailles Contestées;Conversation;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARY_TAILLESCONTESTEES.xml;1662;;;1662;;2;FALSE;;1662;2;0;2;0;0;1;1;;1;0;1523;903;18;20;0;bary-des-tailles-contestees;fre001853;FreDraCor;1662;;male;;1680;"Polixene(M); Léandre(M)";;;False;Q3425806;DraCor: https://dracor.org/;texts/bary-des-tailles-contestees.xml
fre001854;;Biez, Jacques;0;Le Premier Billet Monologue;;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BIEZ_PREMIERBILLET.xml;1881;;;1881;;3;FALSE;;1881;3;1;1;1;0;1;3;;1;0;3919;3760;475;66;0;biez-le-premier-billet;fre001854;FreDraCor;1881;;male;1852;1915;"Juliette(F); Une Voix(M); La Voix(Unk)";;29;False;Q3160243;DraCor: https://dracor.org/;texts/biez-le-premier-billet.xml
fre001855;;Bonhomme, Paul;0;Anicroche;Charade en Trois Actes;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BONHOMME_ANICROCHE.xml;1892;;;1892;;5;FALSE;;1892;5;2;0;3;0;1;7;;10;0;5628;5427;281;286;24;bonhomme-anicroche;fre001855;FreDraCor;1892;;;;;"Beaucornet(Unk); Madame Beaucornet(F); Le Domestique(Unk); Philidor(Unk); Zéphyrine(F)";;;;;DraCor: https://dracor.org/;texts/bonhomme-anicroche.xml
