Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
ep000190;Q7756959;Middleton, Thomas;0;The Phoenix;;Comedy;https://texts.earlyprint.org/works/A07507.xml;1603;;;;;43;false;;;43;4;33;6;0;1;903;1603;1;0;21624;21005;286;384;1246;middleton-the-phoenix;ep000190;EngDraCor;1603;;male;1580;1627;"Duke (M); Infesto (M); Lussurioso (M); Proditor (M); Phoenix (M); Fidelio (M); Niece (F); Soldier 1 (M); Soldier 2 (M); Soldier 3 (M); Captain (M); Lady Castiza (F); Servant (M); Groom (M); Tangle's petitioner 1 (M); Tangle (M); Tangle's petitioner 2 (M); Jeweller's wife (F); Boy (M); Knight (M); Falso's petitioner (M); Falso (M); Latronello (M); Furtivo (M); Gentleman (M); Lackey (M); Whin (Unk); Cry within (Unk); Fucato (M); Constable (M); Voice 1 (Unk); Voice 2 (Unk); Voice 3 (Unk); Voice 4 (Unk); Tangle's petitioner 3 (M); Tangle's petitioner 4 (M); Man 1 (M); Man 2 (M); Quicto (M); Officer 1 (M); Maid (F); Officer 2 (M); Drawer (M)";;23;false;https://www.wikidata.org/wiki/Q344865;DraCor: https://dracor.org/;texts/middleton-the-phoenix.xml
ep000189;Q6835654;Middleton, Thomas;0;Michaelmas Term;;Comedy;https://texts.earlyprint.org/works/A07505.xml;1604;;;;;28;false;;;28;7;21;0;1;1;268;1604;5;5;21434;20205;415;1007;397;middleton-michaelmas-term;ep000189;EngDraCor;1604;;male;1580;1627;"Michaelmas (M); Boy (M); Trinity Terms (M); Salewood (M); Rearage (M); Cockstone (M); Easy (M); Quomodo (M); Shortyard (M); Falselight (M); Lethe (M); Mother Gruill (F); Pander (M); Country wench (F); Drawer (M); Father (M); Tomazine (F); Susan (F); Dustbox (M); Sim (M); Mrs Comings (F); Taylor (M); Courtesan (F); Winifrid (F); Livery 1 (M); Judge (M); 1 Officer (M); Gentleman (M)";;24;false;https://www.wikidata.org/wiki/Q344865;DraCor: https://dracor.org/;texts/middleton-michaelmas-term.xml
ep000188;Q4658017;Middleton, Thomas;0;A Mad World, My Masters;;Comedy;https://texts.earlyprint.org/works/A07504.xml;1604;;;;;27;false;;;27;3;23;1;1;1;222;1604;5;5;20272;19856;428;931;443;middleton-a-mad-world-my-masters;ep000188;EngDraCor;1604;;male;1580;1627;"Lieutenant (M); Ancient Hoboy (M); Folly Wit (M); Penitent (M); Courtesan (F); Mother (F); Possibility (M); Inesse (M); Harebrain (M); First Watchman (M); Second Watchman (M); Wife (F); Knight 1 (M); Bounteous (M); Knight 2 (M); Footman (M); Gunwater (M); Man (M); Within (Unk); Rafe (M); Follywit's cohorts (M); Succubus (M); Jesper (M); Servant (M); Semus (M); Constable (M); Country Gentleman (M)";;24;false;https://www.wikidata.org/wiki/Q344865;DraCor: https://dracor.org/;texts/middleton-a-mad-world-my-masters.xml
ep000187;;Middleton, Thomas;0;The Inner-Temple Masque, or The Masque of Heroes;;;https://texts.earlyprint.org/works/A07503.xml;1619;;;;;7;false;;;7;1;6;0;0;1;21;1619;3;0;2941;2167;259;44;209;middleton-the-inner-temple-masque;ep000187;EngDraCor;1619;;male;1580;1627;"Fasting Day (M); Doctor (M); Plumporridge (M); New Year (M); Dogday (M); Harmony (F); Time (M)";;39;false;https://www.wikidata.org/wiki/Q344865;DraCor: https://dracor.org/;texts/middleton-the-inner-temple-masque.xml
ep000185;Q4656918;Middleton, Thomas;0;A Game at Chess;;Tragicomedy;https://texts.earlyprint.org/works/A07498.xml;1624;;;;;25;false;;;25;4;20;2;0;2;247;1624;6;5;20189;19424;559;220;2144;middleton-a-game-at-chess;ep000185;EngDraCor;1624;;male;1580;1627;"Ignatius (M); Error (Unk); Black Queen Pawn (F); White Queen Pawn (F); Black Bishop Pawn (M); Black Knight (M); White King Pawn (M); White Queen (F); White Bishop Pawn (M); Black Bishop (M); Fat Bishop (M); Black Pawn (M); Fat Bishop Pawn (M); White King (M); White Bishop (M); White Knight (M); White Pawn (M); White Knight Pawn (M); White Duke (M); Black King (M); Black Queen (F); Black Duke (M); Black Knight Pawn (M); Black Jesting Pawn (M); Black Pawn 2 (Unk)";;44;false;https://www.wikidata.org/wiki/Q344865;DraCor: https://dracor.org/;texts/middleton-a-game-at-chess.xml
ep000184;Q7733347;Middleton, Thomas;0;The Family of Love;;Comedy;https://texts.earlyprint.org/works/A07495.xml;1603;;;;;15;false;;;15;3;11;1;0;1;96;1603;10;5;21457;20217;306;637;432;middleton-the-family-of-love;ep000184;EngDraCor;1603;;male;1580;1627;"Glister (M); Maria (F); Mrs Glister (F); Lipsalve (M); Gudgeon (M); Gerardine (M); Club (M); Mrs Purge (F); Purge (M); Dryfat (M); Shrimp (M); Periwinkle (M); Wall (M); Man (M); Within (Unk)";;23;false;https://www.wikidata.org/wiki/Q344865;DraCor: https://dracor.org/;texts/middleton-the-family-of-love.xml
ep000182;Q4655831;Middleton, Thomas;0;A Chaste Maid in Cheapside;;Comedy;https://texts.earlyprint.org/works/A07493.xml;1613;;;;;42;false;;;42;10;27;5;1;1;554;1613;5;5;19594;18822;519;689;1324;middleton-a-chaste-maid-in-cheapside;ep000182;EngDraCor;1613;;male;1580;1627;"Maudline (F); Moll Iamall (F); Yellowhammer (M); Porter (M); Gentleman (M); Walter (M); Welch Gentlewoman (F); Davy (M); Touchwood Jr (M); Allwit (M); Servant 1 (M); Servant 2 (M); Boy 1 (M); Boy 2 (M); Allwit's Wife (F); Touchwood's Wife (F); Touchwood Sr (M); Wench (F); Lady (F); Oliver (M); Maid (F); Nurse (F); Promoter 1 (M); Promoter 2 (M); Man (M); Servant 3 (M); Gossip 2 (Unk); Gossip 1 (Unk); Gossip 3 (Unk); Gossip 4 (Unk); Gossip 5 (Unk); Parson (M); Puritan (M); Tim (M); Tutor (M); Servant 4 (M); Servant 5 (M); Watermen (M); Nick (M); Servant 6 (M); Susan (F); Servant 7 (M)";;33;false;https://www.wikidata.org/wiki/Q344865;DraCor: https://dracor.org/;texts/middleton-a-chaste-maid-in-cheapside.xml
ep000181;Q4930804;Dekker, Thomas;0;Blurt, Master Constable;;Comedy;https://texts.earlyprint.org/works/A07492.xml;1601;;;;;28;false;;;28;9;19;0;2;1;378;1601;1;0;18399;18317;483;276;907;dekker-blurt-master-constable;ep000181;EngDraCor;1601;;male;1572;1632;"Hippolito (M); Violetta (F); 1 Lady (F); Virgilio (M); 3 Lady (F); Camillo (M); 2 Lady (F); Fontinelle (M); Lazarillo (M); Pilcher (M); Dandiprat (M); Doyt (M); Blurt (M); Slubber (M); Truepenny (M); Imperia (F); Simperina (F); Trivia (F); Frisco (M); Curvetto (M); Gallants (M); Friar (M); 4 Lady (F); 5 Lady (F); Woodcocke (M); Duke (M); Watchman (M); Gentlemen (M)";;29;false;https://www.wikidata.org/wiki/Q336189;DraCor: https://dracor.org/;texts/dekker-blurt-master-constable.xml
ep000180;;Mayne, Jasper;0;The City Match;;Comedy;https://texts.earlyprint.org/works/A07367.xml;1637;;;;;22;false;;;22;8;14;0;0;1;170;1637;33;5;22808;21070;458;0;3111;mayne-the-city-match;ep000180;EngDraCor;1637;;male;1604;1672;"Warehouse (M); Seathrift (M); Cypher (M); Plotwell (M); Bright (M); Newcut (M); Timothy (M); Dorcas (F); Aurelia (F); Baneswright (M); Footman (M); Quartfield (M); Roseclap (M); Millicent (F); Salewit (M); Mrs Seathrift (F); Mrs Holland (F); Mrs Scruple (F); Footman 1 (M); Footman 2 (M); Penelope (F); Mr Holland (F)";;33;false;https://www.wikidata.org/wiki/Q6163996;DraCor: https://dracor.org/;texts/mayne-the-city-match.xml
ep000179;;May, Thomas;0;Julia Agrippina, Empress of Rome;;Tragedy;https://texts.earlyprint.org/works/A07332.xml;1628;;;;;28;false;;;30;7;23;0;2;1;317;1628;5;5;20604;20354;276;127;2521;may-julia-agrippina-empress-of-rome;ep000179;EngDraCor;1628;;male;1595;1650;"Pallas (M); Vitellius (M); Pollio (M); Narcissus (M); Geta (M); Crispinus (M); Britannicus (M); Nero (M); Agrippina (F); Seneca (M); Tribune (M); Servant (M); Caesar (M); Poppaea (F); Otho (M); Fulvia (F); Petronius (M); Montanus (M); Anicetus (M); Octavia (F); Xenophon (M); Burrhus (M); Seleucus (M); Acte (F); Ambassadors (M); Locusta (F); Soldiers (M); Agerinus (M)";;33;false;https://www.wikidata.org/wiki/Q518918;DraCor: https://dracor.org/;texts/may-julia-agrippina-empress-of-rome.xml
ep000178;;May, Thomas;0;Cleopatra, Queen of Egypt;;Tragedy;https://texts.earlyprint.org/works/A07330.xml;1626;;;;;31;false;;;31;2;29;0;3;1;312;1626;5;5;16076;15557;361;117;1953;may-cleopatra-queen-of-egypt;ep000178;EngDraCor;1626;;male;1595;1650;"Titius (M); Plancus (M); Caesar (M); Mardio (M); Euphronius (M); Glaucus (M); Cleopatra (F); Charmio (M); Antonius (M); Achoreus (M); Hipparchus (M); Lucilius (M); Sossius (M); Domitius (M); Candidus (M); Seleucus (M); Pinnarius (M); Soldiers (M); Gallus (M); Agrippa (M); Servant (M); Epaphroditus (M); Aristocrates (M); Prisoner 1 (M); Prisoner 2 (M); Thyreus (M); Fergusius (M); Eira (F); Eros (M); Citizens (M); Psyls (M)";;31;false;https://www.wikidata.org/wiki/Q518918;DraCor: https://dracor.org/;texts/may-cleopatra-queen-of-egypt.xml
ep000177;;May, Thomas;0;Antigone, the Theban Princess;;Tragedy;https://texts.earlyprint.org/works/A07329.xml;1627;;;;;25;false;;;25;7;18;0;1;1;170;1627;6;5;13133;12122;143;0;1626;may-antigone-the-theban-princess;ep000177;EngDraCor;1627;;male;1595;1650;"Oedipus (M); Antigone (F); Aemon (M); Dircus (M); Ianthus (M); Nuntius (M); Chorus (M); Argia (F); Deiphile (F); Ornitus (M); Creon (M); Eurydice (F); Aephytus (M); Theban 1 (M); Theban 2 (M); Theban 3 (M); Menaetes (M); Hagg 1 (F); Hagg 2 (F); Hagg 3 (F); Old man 1 (M); Old man 2 (M); Old man 3 (M); Tiresias (M); Thebes (M)";;32;false;https://www.wikidata.org/wiki/Q518918;DraCor: https://dracor.org/;texts/may-antigone-the-theban-princess.xml
ep000176;;May, Thomas;0;The Heir;;Comedy;https://texts.earlyprint.org/works/A07326.xml;1620;;;;;28;false;;;28;3;25;0;0;1;299;1620;5;5;18053;17425;260;320;1743;may-the-heir;ep000176;EngDraCor;1620;;male;1595;1650;"Polimetes (M); Roscio (M); Servant (M); Virro (M); Philocles (M); Cleremont (M); Francisco (M); Franklin (M); Luce (F); Shallow (M); Leucothoe (F); Psecas (F); Eugenio (M); Summoner (M); Parson (M); Alphonso (M); King (M); Euphues (M); Nicanor (M); Matho (M); Constable (M); Watchman 1 (M); Watchman 2 (M); Watchman 3 (M); Watchman 4 (M); Judge 1 (M); Judge 2 (M); Judge 3 (M)";;25;false;https://www.wikidata.org/wiki/Q518918;DraCor: https://dracor.org/;texts/may-the-heir.xml
ep000175;Q7733516;Field, Nathan;1;The Fatal Dowry;;Tragedy;https://texts.earlyprint.org/works/A07251.xml;1619;;;;;29;false;;;29;3;26;0;0;1;251;1619;10;5;22491;21841;470;95;2643;field-massinger-the-fatal-dowry;ep000175;EngDraCor;1619;;male;1587;1620;"Charmi (M); Romont (M); Croy (M); Rochfort (M); Charalois (M); Novall Sr. (M); Creditor 1 (M); Liladam (M); Creditor 2 (M); Nouval Sr (M); Advocate 2 (M); Creditor 3 (M); Baumont (M); Malotin (M); Pontalier (M); Priest (M); Sailor (M); Beaumelle (F); Florimell (F); Bellapert (F); Novall Jr. (M); Aymer (M); Nouval Jr (M); Perfumer (M); Page (M); Tailor (M); Barber (M); Captain (M); Officer (M)";"Field, Nathan; Massinger, Philip";32;false;https://www.wikidata.org/wiki/Q380291;DraCor: https://dracor.org/;texts/field-massinger-the-fatal-dowry.xml
ep000174;Q7772788;Dekker, Thomas;1;The Virgin Martyr;;Tragedy;https://texts.earlyprint.org/works/A07249.xml;1620;;;;;23;false;;;23;4;19;0;0;1;214;1620;5;5;23080;22905;577;94;2637;dekker-massinger-the-virgin-martyr;ep000174;EngDraCor;1620;;male;1572;1632;"Theophilus (M); Harpax (M); Priest (M); Caliste (F); Christeta (F); Sapritius (M); Sempronius (M); Dioclesian (M); Artemia (F); Epire (M); Pontus (M); Macedon (M); Macrinus (M); Antoninus (M); Angelo (M); Spungius (M); Hircius (M); Dorothea (F); Doctor (M); Slave (M); Servant 1 (M); Servant 2 (M); Maximinus (M)";"Dekker, Thomas; Massinger, Philip";48;false;https://www.wikidata.org/wiki/Q336189;DraCor: https://dracor.org/;texts/dekker-massinger-the-virgin-martyr.xml
ep000173;Q7771672;Massinger, Philip;0;The Unnatural Combat;;Tragedy;https://texts.earlyprint.org/works/A07248.xml;1624;;;;;25;false;;;25;6;19;0;1;1;180;1624;11;5;20644;19460;442;2;2578;massinger-the-unnatural-combat;ep000173;EngDraCor;1624;;male;1583;1640;"Montrevile (M); Usher (M); Montagne (M); Theocrine (F); Woman 2 (F); Page (M); Woman 1 (F); Beaufort Jr (M); Belgarde (M); Beaufort Sr (M); Chamont (M); Lanour (M); Malefort Sr (M); Captain (M); Captain 2 (M); Captain 3 (M); Malefort Jr (M); Servant (M); Wenches (F); Wench 1 (F); Bawd (M); Wench 2 (F); Soldier 1 (M); Soldier 2 (M); Soldier 3 (M)";;41;false;https://www.wikidata.org/wiki/Q380291;DraCor: https://dracor.org/;texts/massinger-the-unnatural-combat.xml
ep000172;Q7761392;Massinger, Philip;0;The Roman Actor;;Tragedy;https://texts.earlyprint.org/works/A07247.xml;1626;;;;;25;false;;;25;4;21;0;0;1;184;1626;11;5;20533;19054;491;0;2575;massinger-the-roman-actor;ep000172;EngDraCor;1626;;male;1583;1640;"Aesopus (M); Latinus (M); Paris (M); Lictor 1 (M); Lictor 2 (M); Lamia (M); Rusticus (M); Sura (M); Domitia (F); Parthenius (M); Aretinus (M); Fulcinius (M); Caenis (F); Julia (F); Domitilla (F); Caesar (M); Philargus (M); Stephanos (M); Boy (M); Ascletario (M); Tribune 1 (M); Tribune 2 (M); Tribune 3 (M); Sigeius (M); Entellus (M)";;43;false;https://www.wikidata.org/wiki/Q380291;DraCor: https://dracor.org/;texts/massinger-the-roman-actor.xml
ep000171;;Massinger, Philip;0;The Renegado, or The Gentleman of Venice;;Comedy;https://texts.earlyprint.org/works/A07246.xml;1624;;;;;19;false;;;19;3;16;0;0;1;115;1624;25;5;21968;19907;512;4;2736;massinger-the-renegado;ep000171;EngDraCor;1624;;male;1583;1640;"Vitelli (M); Gazet (M); Francisco (M); Donusa (F); Manto (F); Carazie (M); Mustaffa (M); Grimaldi (M); Master (M); Boatswain (M); Turk 1 (M); Turk 2 (M); Aga (M); Capiaga (M); Asambeg (M); Paulina (F); Jailor (M); Guard 1 (M); Guard 2 (M)";;41;false;https://www.wikidata.org/wiki/Q380291;DraCor: https://dracor.org/;texts/massinger-the-renegado.xml
ep000170;Q7757053;Massinger, Philip;0;The Picture;;Tragicomedy;https://texts.earlyprint.org/works/A07245.xml;1629;;;;;18;false;;;18;4;14;0;0;1;104;1629;17;5;24266;22549;493;0;3105;massinger-the-picture;ep000170;EngDraCor;1629;;male;1583;1640;"Mathias (M); Sophia (F); Hilario (M); Corisca (F); Baptista (M); Ricardo (M); Ubaldo (M); Ladislaus (M); Eubulus (M); Honoria (F); Post (M); Servant (M); Ferdinand (M); Apollo (M); Guide (M); Acanthe (F); Servant 1 (M); Servant 2 (M)";;46;false;https://www.wikidata.org/wiki/Q380291;DraCor: https://dracor.org/;texts/massinger-the-picture.xml
ep000169;Q4658548;Massinger, Philip;0;A New Way to Pay Old Debts;;Comedy;https://texts.earlyprint.org/works/A07241.xml;1625;;;;;20;false;;;20;5;15;0;0;1;134;1625;13;5;22511;21578;432;0;2817;massinger-a-new-way-to-pay-old-debts;ep000169;EngDraCor;1625;;male;1583;1640;"Wellborn (M); Tapwell (M); Froth (F); Alworth (M); Order (M); Amble (M); Furnace (M); Watchall (M); Lady Alworth (F); Greedy (M); Overreach (M); Marall (M); Woman (F); Chambermaid (F); Lovell (M); Margaret (F); Creditor 1 (M); Creditor 2 (M); Creditor 3 (M); Will Do (M)";;42;false;https://www.wikidata.org/wiki/Q380291;DraCor: https://dracor.org/;texts/massinger-a-new-way-to-pay-old-debts.xml
