Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
POL0084;Weyssenhoff, Józef;Soból i panna;1912;1912;;texts/POL0084_weyssenhoff_sobol-i-panna.xml;63400;Polish;http://viaf.org/viaf/39411801;male;1860;1932;medium;1900-1920;ELTeC-pol;;;1912;;;;;low;POL0084;52;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0085;Witkiewicz, Stanisław Ignacy;Jedyne wyjście;1933;1933;;texts/POL0085_witkacy_jedyne-wyjscie.xml;34812;Polish;http://viaf.org/viaf/88039095;male;1885;1939;short;1900-1920;ELTeC-pol;;;1933;;;;;low;POL0085;48;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0086;Witkiewicz, Stanisław Ignacy;Nienasycenie;1930;1930;;texts/POL0086_witkacy_nienasycenie.xml;206917;Polish;http://viaf.org/viaf/88039095;male;1885;1939;long;1900-1920;ELTeC-pol;;;1930;;;;;low;POL0086;45;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0087;Witkiewicz, Stanisław Ignacy;Pożegnanie jesieni;1927;1927;;texts/POL0087_witkacy_pozegnanie-jesieni.xml;128659;Polish;http://viaf.org/viaf/88039095;male;1885;1939;long;1900-1920;ELTeC-pol;;;1927;;;;;low;POL0087;42;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0088;Zapolska, Gabriela;Kaśka Kariatyda;1888;1888;;texts/POL0088_zapolska_kaska-kariatyda.xml;101834;Polish;http://viaf.org/viaf/36937720;female;1857;1921;long;1880-1899;ELTeC-pol;;;1888;;;;;high;POL0088;31;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0089;Zapolska, Gabriela;Kobieta bez skazy;1913;1913;;texts/POL0089_zapolska_kobieta-bez-skazy.xml;70554;Polish;http://viaf.org/viaf/36937720;female;1857;1921;medium;1900-1920;ELTeC-pol;;;1913;;;;;low;POL0089;56;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0090;Zapolska, Gabriela;Sezonowa miłość;1904;1904;;texts/POL0090_zapolska_sezonowa-milosc.xml;108195;Polish;http://viaf.org/viaf/36937720;female;1857;1921;long;1900-1920;ELTeC-pol;;;1904;;;;;low;POL0090;47;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0091;Żeromski, Stefan;Dzieje grzechu;1908;1908;;texts/POL0091_zeromski_dzieje-grzechu.xml;151924;Polish;http://viaf.org/viaf/189239633;male;1864;1925;long;1900-1920;ELTeC-pol;;;1908;;;;;high;POL0091;44;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0092;Żeromski, Stefan;Przedwiośnie;1924;1924;;texts/POL0092_zeromski_przedwiosnie.xml;87994;Polish;http://viaf.org/viaf/189239633;male;1864;1925;medium;1900-1920;ELTeC-pol;;;1924;;;;;high;POL0092;60;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0093;Żeromski, Stefan;Syzyfowe prace;1898;1898;;texts/POL0093_zeromski_syzyfowe-prace.xml;65554;Polish;http://viaf.org/viaf/189239633;male;1864;1925;medium;1880-1899;ELTeC-pol;;;1898;;;;;high;POL0093;34;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0094;Żmichowska, Narcyza;Biała róża;1858;1858;;texts/POL0094_zmichowska_biala-roza.xml;50303;Polish;http://viaf.org/viaf/19701612;female;1819;1876;short;1840-1859;ELTeC-pol;;;1858;;;;;low;POL0094;39;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0095;Żmichowska, Narcyza;Książka pamiątek;1848;1848;;texts/POL0095_zmichowska_ksiazka-pamiatek.xml;65589;Polish;http://viaf.org/viaf/19701612;female;1819;1876;medium;1840-1859;ELTeC-pol;;;1848;;;;;low;POL0095;29;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0096;Żmichowska, Narcyza;Poganka;1846;1846;;texts/POL0096_zmichowska_poganka.xml;37362;Polish;http://viaf.org/viaf/19701612;female;1819;1876;short;1840-1859;ELTeC-pol;;;1846;;;;;low;POL0096;27;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0097;Żuławski, Jerzy;Na srebrnym globie;1903;1903;;texts/POL0097_zulawski_na-srebrnym-globie.xml;64507;Polish;http://viaf.org/viaf/20269297;male;1874;1915;medium;1900-1920;ELTeC-pol;;;1903;;;;;high;POL0097;29;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0098;Żuławski, Jerzy;Powrót;1914;1914;;texts/POL0098_zulawski_powrot.xml;64507;Polish;http://viaf.org/viaf/20269297;male;1874;1915;medium;1900-1920;ELTeC-pol;;;1914;;;;;high;POL0098;40;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0099;Żuławski, Jerzy;Zwycięzca;1910;1910;;texts/POL0099_zulawski_zwyciezca.xml;84111;Polish;http://viaf.org/viaf/20269297;male;1874;1915;medium;1900-1920;ELTeC-pol;;;1910;;;;;high;POL0099;36;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0100;Makuszyński, Kornel;Po mlecznej drodze;1920;1920;;texts/POL0100_makuszynski_po-mlecznej-drodze.xml;54705;Polish;http://viaf.org/viaf/24615563;male;1884;1953;medium;1900-1920;ELTeC-pol;1920;;;Computational Stylistics Group in Krakow;;;;high;POL0100;36;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
