Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
HU08358;Benedek, Elek;Édes anyaföldem! :  Egy nép s egy ember története;1920;1920;;texts/HU08358.xml;151256;Hungarian;https://viaf.org/viaf/120201932;male;1859;1929;long;1900-1920;ELTeC-hun;1920;2010-06-08;;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU08358;61;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU09105;Török, Gyula;A zöldköves gyűrű;1918;1918;;texts/HU09105.xml;84038;Hungarian;https://viaf.org/viaf/72194515;male;1888;1918;medium;1900-1920;ELTeC-hun;1918;2011-01-27;1973;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU09105;30;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU10230;Jósika, Miklós;II. Rákóczi Ferencz;1852;1852;;texts/HU10230.xml;238192;Hungarian;https://viaf.org/viaf/1972047;male;1794;1865;long;1840-1859;ELTeC-hun;1852;2012-01-02;1909;Magyar Elektronikus Könyvtárért Egyesület;;;;unspecified;HU10230;58;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU10428;Szomaházy, István;A csipkeverő leány;1920;1920;;texts/HU10428.xml;30933;Hungarian;https://viaf.org/viaf/73382097;male;1864;1927;short;1900-1920;ELTeC-hun;1920;2012-03-02;1921;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU10428;56;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU11129;Andor, Mária;Bébike memoárjai : Egy kis kutya önéletrajza;1918;1918;;texts/HU11129.xml;47151;Hungarian;;female;1890;1960;short;1900-1920;ELTeC-hun;1918;2012-11-09;1918;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU11129;28;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU11795;Ágai, Adolf;Rontó Pál viselt dolgai vizen és szárazon;1912;1912;;texts/HU11795.xml;41719;Hungarian;https://viaf.org/viaf/19711540;male;1836;1916;short;1900-1920;ELTeC-hun;1912;2013-07-18;;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU11795;76;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU11968;Donászy, Ferenc;Őserdőkön, tengereken;1894;1894;;texts/HU11968.xml;125772;Hungarian;https://viaf.org/viaf/1657716;male;1858;1923;long;1880-1899;ELTeC-hun;1894;2013-09-25;1907;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU11968;36;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU12028;Abonyi, Árpád;A nagyasszony;1892;1892;;texts/HU12028.xml;23378;Hungarian;https://viaf.org/viaf/39125767;male;1865;1918;short;1880-1899;ELTeC-hun;1892;2013-10-11;1892;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU12028;27;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU12359;Zigány, Árpád;A parasztkirály : Történeti regény a XVI. századból;1902;1902;print edition: 1902-1903;texts/HU12359.xml;62504;Hungarian;https://viaf.org/viaf/70701164;male;1865;1936;medium;1900-1920;ELTeC-hun;1902;2014-01-28;1903;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU12359;37;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU12750;Bársony, István;A rab király szabadon : Fantasztikus állatregény;1903;1903;;texts/HU12750.xml;30756;Hungarian;https://viaf.org/viaf/84079235;male;1863;1924;short;1900-1920;ELTeC-hun;1903;2014-04-14;1921;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU12750;40;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU13316;Szemere, György;A Kont-eset :  Fantasztikus regény a XXI. századból;1911;1911;;texts/HU13316.xml;52170;Hungarian;https://viaf.org/viaf/121485073;male;1866;1952;medium;1900-1920;ELTeC-hun;1911;2014-09-25;;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU13316;45;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU13387;Gárdonyi, Géza;Egri csillagok: Bornemissza Gergely élete;1901;1901;;texts/HU13387.xml;138886;Hungarian;https://viaf.org/viaf/24643507;male;1863;1922;long;1900-1920;ELTeC-hun;1901;2014-10-17;1909;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU13387;38;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU13445;Beöthy, László;Két leány és egy legény;1895;1895;;texts/HU13445.xml;29473;Hungarian;https://viaf.org/viaf/121409411;male;1826;1857;short;1880-1899;ELTeC-hun;1895;2014-11-04;1905;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU13445;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU13462;Kövér, Ilma;Két világ közt;1897;1897;;texts/HU13462.xml;36087;Hungarian;https://viaf.org/viaf/121505002;female;1862;1928;short;1880-1899;ELTeC-hun;1897;2014-11-07;;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU13462;35;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU13606;Werner, Gyula;Forgách Simon : Rákóczi korabeli regény;1907;1907;;texts/HU13606.xml;121674;Hungarian;https://viaf.org/viaf/167135256;male;1862;1926;long;1900-1920;ELTeC-hun;1907;2014-12-16;1908;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU13606;45;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU13802;Abonyi, Lajos;Magduska öröksége;1886;1886;;texts/HU13802.xml;52809;Hungarian;https://viaf.org/viaf/68652301;male;1833;1898;medium;1880-1899;ELTeC-hun;1886;2015-02-17;1903;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU13802;53;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU14125;Csiky, Gergely;Sisyphus munkája;1892;1892;;texts/HU14125.xml;26684;Hungarian;https://viaf.org/viaf/54198282;male;1842;1891;short;1880-1899;ELTeC-hun;1892;2015-05-27;1892;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU14125;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU14197;Szathmáry, Károly P.;A legszebb herczegnő : Történeti regény Mária Terézia korából;1888;1888;;texts/HU14197.xml;58893;Hungarian;https://viaf.org/viaf/57487056;male;1831;1891;medium;1880-1899;ELTeC-hun;1888;2015-09-09;1888;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU14197;57;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
