Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
LIT00015;Tatarė, Antanas;Pamoksłaj iszminties ir tejsibes iszguldineti priliginimajs gałwocziu wisu amziu deł Lietuwos wajkielu;1851;1851;Publisher and publishing place: Drukarnia Franciszka Pileckiego, Suvalkai;texts/LIT00015_tatare_pamokslai_iszminties_ir_teisybes.xml;28167;Lithuanian;;male;1805;1889;short;1840-1859;ELTeC-lith;1851;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00015;46;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00016;Valančius, Motiejus;Paaugusiu žmonių kningiele;1868;1868;Publisher and publishing place: Gedruckt bei Julius Gittenfeld, Berlin;texts/LIT00016_valancius_paaugusiu_zmoniu_knygele.xml;29344;Lithuanian;;male;1801;1875;short;1860-1879;ELTeC-lith;1868;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00016;67;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00017;Basanavičius, Jonas;Apie senoves Lietuvos pylis;1891;1891;Publisher and publishing place: Draugysta\, Baltimorė, Tilžė;texts/LIT00017_basanavicius_apie_senoves_lietuvos_pylis.xml;13309;Lithuanian;;male;1851;1927;short;1880-1899;ELTeC-lith;1891;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00017;40;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00018;Fromas-Gužutis, Aleksandras;Eglė žalczių karalienė ir Iszgriovimas Kauno pilies 1362 m.;1893;1893;Publisher and publishing place: Spaustuvėje Juozo Paukszczio, Plymouth, Pa.;texts/LIT00018_guzutis_egle_zalciu_karalius.xml;21308;Lithuanian;;male;1822;1900;short;1880-1899;ELTeC-lith;1893;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00018;71;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00019;Vileišis, Petras;Plunksnos abrozēlei;1894;1894;Publisher and publishing place: Spaustuvėje M. Jankaus, Bitėnai;texts/LIT00019_vileisis_plunksnos_abrozelei.xml;12004;Lithuanian;;male;1851;1926;short;1880-1899;ELTeC-lith;1894;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00019;43;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00020;Fromas-Gužutis, Aleksandras;Ponas ir mużikai;1893;1893;Publisher and publishing place: Iszduota M. Noveskio, Tilžė;texts/LIT00020_guzutis_ponas_ir_muzikai.xml;16738;Lithuanian;;male;1822;1900;short;1880-1899;ELTeC-lith;1893;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00020;71;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00021;Gomaliauskis, Petras;Apłankimas seniuka dieł brolu żemajcziu ir lietuviu;1853;1853;Publisher and publishing place: Spaustuwej M. B. Neumana., Dunaburgas;texts/LIT00021_gomaliauskis_aplankimas_seniuka.xml;14246;Lithuanian;;male;1820;1968;short;1840-1859;ELTeC-lith;1853;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00021;33;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00022;Juzumas, Vincentas;Szwentas Izidorius Artojas;1854;1854;Publisher and publishing place: Kasztu ir Spaustuwi Juozapas Zawadskia., Wilniuje;texts/LIT00022_juzumas_sventas_izidorius_artojas.xml;12501;Lithuanian;;male;1819;1901;short;1840-1859;ELTeC-lith;1854;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00022;35;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00023;Valančius, Motiejus;Źiwataj szwętuju;1858;1858;Publisher and publishing place: Kasztu ir spaustuwieje Jozapa Zawadzkia, Wilniuj;texts/LIT00023_valancius_zyvatas_sventuju.xml;43081;Lithuanian;;male;1801;1875;short;1840-1859;ELTeC-lith;1858;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00023;57;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00024;Valančius, Motiejus;Giwenimaj szwentuju Diewa;1868;1868;Publisher and publishing place: pas Albreghs ir Comp., Tilzej;texts/LIT00024_valancius_gyvenimai_sventuju_diewa.xml;67608;Lithuanian;;male;1801;1875;medium;1860-1879;ELTeC-lith;1868;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00024;67;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00025;Antanas Petrauskas;Laisvės metu;1908;1908;Publisher and publishing place: Laukaičio ir b-vės spaustuvė, Seinai;texts/LIT00025_petrauskas_laisves_metu.xml;25832;Lithuanian;;male;1881;1944;short;1900-1920;ELTeC-lith;1908;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00025;27;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00026;Šatrijos Ragana (Marija Pečkauskaitė);Dėl tėvynės;1907;1907;Publisher and publishing place: Saliamono Banaičio spaustuvė, Kaunas;texts/LIT00026_satrijos_ragana_del_tevynes.xml;11260;Lithuanian;;female;1877;1930;short;1900-1920;ELTeC-lith;1907;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00026;30;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00027;Šatrijos Ragana (Marija Pečkauskaitė);Vincas Stonis;1906;1906;Publisher and publishing place: „Vilniaus žinių“ spaustuvė, Vilnius;texts/LIT00027_satrijos_ragana_vincas_stonis.xml;26221;Lithuanian;;female;1877;1930;short;1900-1920;ELTeC-lith;1906;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00027;29;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00028;Šatrijos Ragana (Marija Pečkauskaitė);Viktutė;1903;1903;Publisher and publishing place: V. Šliakio (Stagaro) spaustuvė, Shenandoah, PA.;texts/LIT00028_satrijos_ragana_viktute.xml;26397;Lithuanian;;female;1877;1930;short;1900-1920;ELTeC-lith;1903;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00028;26;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00029;Šatrijos Ragana (Marija Pečkauskaitė);Ir aš mažas buvau;1919;1919;Publisher and publishing place: Švyturio spaustuvė, Vilnius;texts/LIT00029_pranas_masiotas_ir_as_mazas_buvau.xml;10197;Lithuanian;;female;1863;1940;short;1900-1920;ELTeC-lith;1919;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00029;56;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00030;Lazdynų Pelėda (Sofija Pšibiliauskienė);Našlaitė;1902;1902;;texts/LIT00030_lazdynu_peleda_naslaite.xml;11040;Lithuanian;;female;1867;1926;short;1900-1920;ELTeC-lith;1902;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00030;35;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00032;Laucevičius-Vargšas, Bronius;Marikė;1920;1920;Publisher and publishing place: (Švento Kazimiero draugija, Kaunas;texts/LIT00032_laucevicius_vargsas_marike.xml;9305;Lithuanian;;male;1884;1916;short;1900-1920;ELTeC-lith;1920;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00032;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00033;Balvočius, Jonas;Kunigo giminė;1906;1906;Publisher and publishing place: kasztu A. Miluko Shenandoah, Pa., Shenandoah;texts/LIT00033_balvocius_kunigo_gimine.xml;11888;Lithuanian;;male;1842;1915;short;1900-1920;ELTeC-lith;1906;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00033;64;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00034;Andruška, Benediktas;Dvejopas galas ;1914;1914;Publisher and publishing place: Švento Kazimiero draugijos leidinys, Kaunas;texts/LIT00034_andruska_dvejopas_galas.xml;9597;Lithuanian;;male;1884;1951;short;1900-1920;ELTeC-lith;1914;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00034;30;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
