Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
FRA00901;Daudet, Alphonse;Le petit chose;1868;1868;"authorid: https://www.wikidata.org/wiki/Q228546; titleid: https://www.wikidata.org/wiki/Q1057575";texts/FRA00901_Daudet.xml;87744;French;https://viaf.org/viaf/4928621;male;1840;1897;medium;1860-1879;ELTeC-fra;1868;2004;1930;Ebooks libres et gratuits;https://viaf.org/viaf/184784857 ;;autodiegetic;high;FRA00901;28;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA01002;Delarue-Mardrus, Lucie;Toutoune et son amour;1919;1919;authorid: https://www.wikidata.org/wiki/Q3087508;texts/FRA01002_DelarueMardrus.xml;35097;French;https://viaf.org/viaf/34455354;female;1874;1945;short;1900-1920;ELTeC-fra;1919;2018;1919;Wikisource;;;heterodiegetic;low;FRA01002;45;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA01101;Dombre, Roger;Une pupille gênante;1890;1890;"Dombre, Roger [Marguerite Sisson / Marguerite Ligeron]; authorid: https://www.wikidata.org/wiki/Q42529454";texts/FRA01101_Dombre.xml;50336;French;https://viaf.org/viaf/37053113;female;1859;1914;medium;1880-1899;ELTeC-fra;1890;;;Bibliothèque électronique du Québec (BEQ);https://search.worldcat.org/title/archaeology-of-knowledge/oclc/457908349;;heterodiegetic;low;FRA01101;31;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA01102;Dombre, Roger;Folla;1889;1889;"Dombre, Roger [Marguerite Sisson / Marguerite Ligeron]; authorid: https://www.wikidata.org/wiki/Q42529454";texts/FRA01102_Dombre.xml;24998;French;https://viaf.org/viaf/37053113;female;1859;1914;short;1880-1899;ELTeC-fra;1889;;;Bibliothèque électronique du Québec (BEQ);https://search.worldcat.org/title/archaeology-of-knowledge/oclc/465119441;;heterodiegetic;low;FRA01102;30;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA01201;Féval, Paul Henri Corentin;Le Cavalier Fortune;1868;1868;"Féval, Paul Henri Corentin [dit Paul Féval père]; authorid: https://www.wikidata.org/wiki/Q472568";texts/FRA01201_Feval.xml;136999;French;https://viaf.org/viaf/17222447;male;1816;1887;long;1860-1879;ELTeC-fra;1868;;;Ebooks libres et gratuits;;;heterodiegetic;low;FRA01201;52;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA01202;Féval, Paul Henri Corentin;Les Errants de nuit;1857;1857;"Féval, Paul Henri Corentin [dit Paul Féval père]; authorid: https://www.wikidata.org/wiki/Q472568";texts/FRA01202_Feval.xml;103086;French;https://viaf.org/viaf/17222447;male;1816;1887;long;1840-1859;ELTeC-fra;1857;;1880;Ebooks libres et gratuits;;;heterodiegetic;low;FRA01202;41;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA01203;Féval, Paul Henri Corentin;le Loup blanc;1845;1845;"Féval, Paul Henri Corentin [dit Paul Féval père]; authorid: https://www.wikidata.org/wiki/Q472568; titleid: https://www.wikidata.org/wiki/Q3224087";texts/FRA01203_Feval.xml;80201;French;https://viaf.org/viaf/17222447;male;1816;1887;medium;1840-1859;ELTeC-fra;1845;;1883;Ebooks libres et gratuits;https://viaf.org/viaf/644145424532886830955 ;;heterodiegetic;high;FRA01203;29;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA01301;Flaubert, Gustave;L'Éducation sentimentale;1870;1870;"authorid: https://www.wikidata.org/wiki/Q43444; first edition: 1869-1870";texts/FRA01301_Flaubert.xml;149810;French;https://viaf.org/viaf/9846192;male;1821;1880;long;1860-1879;ELTeC-fra;1870;;1880;(unspecified);https://viaf.org/viaf/180462896;;heterodiegetic;high;FRA01301;49;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA01302;Flaubert, Gustave;Madame Bovary;1857;1857;"authorid: https://www.wikidata.org/wiki/Q43444 ; titleid: https://www.wikidata.org/wiki/Q193417";texts/FRA01302_Flaubert.xml;120122;French;https://viaf.org/viaf/9846192;male;1821;1880;long;1840-1859;ELTeC-fra;1857;2012;1857;Ebooks libres et gratuits;https://viaf.org/viaf/186570439;;heterodiegetic;high;FRA01302;36;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA01303;Flaubert, Gustave;Salammbô;1862;1862;"authorid: https://www.wikidata.org/wiki/Q43444; titleid: https://www.wikidata.org/wiki/Q117182";texts/FRA01303_Flaubert.xml;105395;French;https://viaf.org/viaf/9846192;male;1821;1880;long;1860-1879;ELTeC-fra;1862;;1863;Wikisource;https://viaf.org/viaf/176014945 ;;heterodiegetic;high;FRA01303;41;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA01401;Fleuriot, Zénaïde;Un enfant gâté;1877;1877;authorid: https://www.wikidata.org/wiki/Q3086433;texts/FRA01401_Fleuriot.xml;35076;French;https://viaf.org/viaf/41872490;female;1829;1890;short;1860-1879;ELTeC-fra;1877;;1881;Bibliothèque électronique du Québec (BEQ);;;heterodiegetic;low;FRA01401;48;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA01402;Fleuriot, Zénaïde;En congé;1874;1874;authorid: https://www.wikidata.org/wiki/Q3086433;texts/FRA01402_Fleuriot.xml;38021;French;https://viaf.org/viaf/41872490;female;1829;1890;short;1860-1879;ELTeC-fra;1874;;1875;Bibliothèque électronique du Québec (BEQ);https://search.worldcat.org/title/archaeology-of-knowledge/oclc/561075297;;autodiegetic;low;FRA01402;45;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA01403;Fleuriot, Zénaïde;Alberte;1881;1881;authorid: https://www.wikidata.org/wiki/Q3086433;texts/FRA01403_Fleuriot.xml;64213;French;https://viaf.org/viaf/41872490;female;1829;1890;medium;1880-1899;ELTeC-fra;1881;;1881;Bibliothèque électronique du Québec (BEQ);https://search.worldcat.org/title/archaeology-of-knowledge/oclc/944664084;;heterodiegetic;low;FRA01403;52;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA01501;France, Anatole;Les dieux ont soif: édition ELTeC;1912;1912;authorid: https://www.wikidata.org/wiki/Q42443;texts/FRA01501_France.xml;71994;French;https://viaf.org/viaf/4925052;male;1844;1924;medium;1900-1920;ELTeC-fra;1912;2011;1939;Fadedpage;https://viaf.org/viaf/2498149844946602960007;;heterodiegetic;high;FRA01501;68;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA01601;Gautier, Judith;La Sœur du Soleil;1887;1887;"authorid: https://www.wikidata.org/wiki/Q2523100; titleid: https://www.wikidata.org/wiki/Q19189680";texts/FRA01601_GautierJ.xml;107267;French;https://viaf.org/viaf/54148064;female;1845;1917;long;1880-1899;ELTeC-fra;1887;2001;1887;Wikisource;https://viaf.org/viaf/3075147270505335700009 ;;heterodiegetic;high;FRA01601;42;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA01602;Gautier, Judith;Fleurs d'Orient;1893;1893;authorid: https://www.wikidata.org/wiki/Q2523100;texts/FRA01602_GautierJ.xml;51537;French;https://viaf.org/viaf/54148064;female;1845;1917;medium;1880-1899;ELTeC-fra;1893;2001;1893;Wikisource;https://www.wikidata.org/wiki/Q19171123;;heterodiegetic;low;FRA01602;48;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA01603;Gautier, Judith;Les Princesses d'Amour : courtisanes japonaises;1900;1900;authorid: https://www.wikidata.org/wiki/Q2523100;texts/FRA01603_GautierJ.xml;29460;French;https://viaf.org/viaf/54148064;female;1845;1917;short;1900-1920;ELTeC-fra;1900;2011;1900;Wikisource;https://www.wikidata.org/wiki/Q19212715;;heterodiegetic;high;FRA01603;55;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
